Spot,Time,Growth_normalized
PRB16_11,2072,7848
PRB16_11,2118,8181
PRB16_11,2164,8569
PRB16_11,2210,8835
PRB16_11,2256,9350
PRB16_11,2302,9666
PRB16_11,2348,10063
PRB16_11,2394,10402
PRB16_11,2440,10831
PRB16_11,2486,11132
PRB16_11,2532,11594
PRB16_11,2578,11734
PRB16_11,2624,12243
PRB16_11,2670,12508
PRB16_11,2716,12890
PRB16_11,2762,13235
PRB16_12,0,0
PRB16_12,46,0
PRB16_12,92,0
PRB16_12,138,0
PRB16_12,184,0
PRB16_12,230,11
PRB16_12,276,32
PRB16_12,322,36
PRB16_12,368,72
PRB16_12,414,44
PRB16_12,460,90
PRB16_12,506,96
PRB16_12,552,131
PRB16_12,598,240
PRB16_12,644,238
PRB16_12,690,375
PRB16_12,736,446
PRB16_12,782,627
PRB16_12,828,726
PRB16_12,874,892
PRB16_12,920,987
PRB16_12,967,1254
PRB16_12,1013,1488
PRB16_12,1059,1728
PRB16_12,1105,1919
PRB16_12,1151,2188
PRB16_12,1197,2398
PRB16_12,1243,2609
PRB16_12,1289,2863
PRB16_12,1335,3091
PRB16_12,1381,3349
PRB16_12,1427,3589
PRB16_12,1473,3851
PRB16_12,1519,4211
PRB16_12,1565,4513
PRB16_12,1611,4837
PRB16_12,1657,5220
PRB16_12,1703,5471
PRB16_12,1749,5801
PRB16_12,1795,6029
PRB16_12,1841,6315
PRB16_12,1888,6524
PRB16_12,1934,6805
PRB16_12,1980,7077
PRB16_12,2026,7505
PRB16_12,2072,7920
PRB16_12,2118,8206
PRB16_12,2164,8609
PRB16_12,2210,8961
PRB16_12,2256,9513
PRB16_12,2302,9934
PRB16_12,2348,10354
PRB16_12,2394,10774
PRB16_12,2440,11355
PRB16_12,2486,11658
PRB16_12,2532,12220
PRB16_12,2578,12457
PRB16_12,2624,13033
PRB16_12,2670,13432
PRB16_12,2716,14030
PRB16_12,2762,14416
PRB16_13,0,0
PRB16_13,46,0
PRB16_13,92,0
PRB16_13,138,0
PRB16_13,184,11
PRB16_13,230,18
PRB16_13,276,42
PRB16_13,322,56
PRB16_13,368,54
PRB16_13,414,79
PRB16_13,460,88
PRB16_13,506,78
PRB16_13,552,108
PRB16_13,598,143
PRB16_13,644,161
PRB16_13,690,220
PRB16_13,736,213
PRB16_13,782,258
PRB16_13,828,297
PRB16_13,874,385
PRB16_13,920,418
PRB16_13,967,504
PRB16_13,1013,626
PRB16_13,1059,697
PRB16_13,1105,727
PRB16_13,1151,768
PRB16_13,1197,911
PRB16_13,1243,953
PRB16_13,1289,1045
PRB16_13,1335,1132
PRB16_13,1381,1216
PRB16_13,1427,1269
PRB16_13,1473,1347
PRB16_13,1519,1445
PRB16_13,1565,1505
PRB16_13,1611,1577
PRB16_13,1657,1593
PRB16_13,1703,1619
PRB16_13,1749,1724
PRB16_13,1795,1821
PRB16_13,1841,1847
PRB16_13,1888,1936
PRB16_13,1934,1982
PRB16_13,1980,2098
PRB16_13,2026,2196
PRB16_13,2072,2301
PRB16_13,2118,2363
PRB16_13,2164,2481
PRB16_13,2210,2603
PRB16_13,2256,2732
PRB16_13,2302,2771
PRB16_13,2348,2833
PRB16_13,2394,2890
PRB16_13,2440,3002
PRB16_13,2486,3094
PRB16_13,2532,3181
PRB16_13,2578,3270
PRB16_13,2624,3385
PRB16_13,2670,3523
PRB16_13,2716,3578
PRB16_13,2762,3618
PRB16_14,0,0
PRB16_14,46,0
PRB16_14,92,0
PRB16_14,138,0
PRB16_14,184,0
PRB16_14,230,9
PRB16_14,276,20
PRB16_14,322,25
PRB16_14,368,0
PRB16_14,414,16
PRB16_14,460,8
PRB16_14,506,17
PRB16_14,552,22
PRB16_14,598,32
PRB16_14,644,59
PRB16_14,690,77
PRB16_14,736,85
PRB16_14,782,114
PRB16_14,828,113
PRB16_14,874,146
PRB16_14,920,142
PRB16_14,967,187
PRB16_14,1013,193
PRB16_14,1059,210
PRB16_14,1105,245
PRB16_14,1151,271
PRB16_14,1197,339
PRB16_14,1243,395
PRB16_14,1289,450
PRB16_14,1335,510
PRB16_14,1381,547
PRB16_14,1427,629
PRB16_14,1473,690
PRB16_14,1519,751
PRB16_14,1565,821
PRB16_14,1611,886
PRB16_14,1657,958
PRB16_14,1703,1036
PRB16_14,1749,1100
PRB16_14,1795,1183
PRB16_14,1841,1260
PRB16_14,1888,1328
PRB16_14,1934,1408
PRB16_14,1980,1470
PRB16_14,2026,1581
PRB16_14,2072,1639
PRB16_14,2118,1711
PRB16_14,2164,1747
PRB16_14,2210,1823
PRB16_14,2256,1854
PRB16_14,2302,1975
PRB16_14,2348,2035
PRB16_14,2394,2081
PRB16_14,2440,2190
PRB16_14,2486,2207
PRB16_14,2532,2311
PRB16_14,2578,2383
PRB16_14,2624,2453
PRB16_14,2670,2505
PRB16_14,2716,2606
PRB16_14,2762,2681
PRB16_15,0,0
PRB16_15,46,0
PRB16_15,92,16
PRB16_15,138,0
PRB16_15,184,29
PRB16_15,230,0
PRB16_15,276,37
PRB16_15,322,0
PRB16_15,368,0
PRB16_15,414,3
PRB16_15,460,0
PRB16_15,506,0
PRB16_15,552,1
PRB16_15,598,0
PRB16_15,644,2
PRB16_15,690,0
PRB16_15,736,24
PRB16_15,782,0
PRB16_15,828,0
PRB16_15,874,126
PRB16_15,920,21
PRB16_15,967,0
PRB16_15,1013,118
PRB16_15,1059,154
PRB16_15,1105,0
PRB16_15,1151,121
PRB16_15,1197,0
PRB16_15,1243,26
PRB16_15,1289,0
PRB16_15,1335,0
PRB16_15,1381,171
PRB16_15,1427,25
PRB16_15,1473,0
PRB16_15,1519,5
PRB16_15,1565,7
PRB16_15,1611,0
PRB16_15,1657,0
PRB16_15,1703,0
PRB16_15,1749,0
PRB16_15,1795,0
PRB16_15,1841,0
PRB16_15,1888,8
PRB16_15,1934,0
PRB16_15,1980,5
