,Cell_type,Time,Spot,Spot_loc,Growth,Growth_normalized
TETRArcAKO16_18_828,TETRArcAKO16,828.0,TETRArcAKO16_18,358_514_6,5513.0,229.0
TETRArcAKO16_19_828,TETRArcAKO16,828.0,TETRArcAKO16_19,375_968_6,5628.0,155.0
TETRArcAKO16_20_828,TETRArcAKO16,828.0,TETRArcAKO16_20,376_151_7,6872.0,178.0
TETRArcAKO16_21_828,TETRArcAKO16,828.0,TETRArcAKO16_21,447_540_6,5577.0,151.0
TETRArcAKO16_22_828,TETRArcAKO16,828.0,TETRArcAKO16_22,448_500_5,4022.0,93.0
TETRArcAKO16_23_828,TETRArcAKO16,828.0,TETRArcAKO16_23,495_916_7,6759.0,186.0
TETRArcAKO16_24_828,TETRArcAKO16,828.0,TETRArcAKO16_24,497_256_6,4997.0,138.0
TETRArcAKO16_25_828,TETRArcAKO16,828.0,TETRArcAKO16_25,511_557_7,8100.0,171.0
TETRArcAKO16_26_828,TETRArcAKO16,828.0,TETRArcAKO16_26,516_994_7,8132.0,201.0
TETRArcAKO16_27_828,TETRArcAKO16,828.0,TETRArcAKO16_27,534_683_8,11540.0,231.0
TETRArcAKO16_28_828,TETRArcAKO16,828.0,TETRArcAKO16_28,582_417_7,5989.0,191.0
TETRArcAKO16_29_828,TETRArcAKO16,828.0,TETRArcAKO16_29,671_659_7,7263.0,210.0
TETRArcAKO16_30_828,TETRArcAKO16,828.0,TETRArcAKO16_30,747_418_7,5940.0,203.0
TETRArcAKO16_31_828,TETRArcAKO16,828.0,TETRArcAKO16_31,801_159_5,4273.0,123.0
TETRArcAKO16_32_828,TETRArcAKO16,828.0,TETRArcAKO16_32,880_863_8,9973.0,274.0
TETRArcAKO16_33_828,TETRArcAKO16,828.0,TETRArcAKO16_33,884_259_6,5667.0,172.0
TETRArcAKO16_34_828,TETRArcAKO16,828.0,TETRArcAKO16_34,972_570_6,5553.0,126.0
TETRArcAKO16_35_828,TETRArcAKO16,828.0,TETRArcAKO16_35,1036_861_6,6087.0,161.0
TETRArcAKO16_0_2118,TETRArcAKO16,2118.0,TETRArcAKO16_0,37_462_6,5828.0,985.0
TETRArcAKO16_1_2118,TETRArcAKO16,2118.0,TETRArcAKO16_1,69_1089_14,27236.0,430.0
TETRArcAKO16_2_2118,TETRArcAKO16,2118.0,TETRArcAKO16_2,114_680_8,8978.0,1101.0
TETRArcAKO16_3_2118,TETRArcAKO16,2118.0,TETRArcAKO16_3,117_371_6,6451.0,1067.0
TETRArcAKO16_4_2118,TETRArcAKO16,2118.0,TETRArcAKO16_4,153_682_7,9306.0,968.0
TETRArcAKO16_5_2118,TETRArcAKO16,2118.0,TETRArcAKO16_5,175_742_8,11545.0,1406.0
TETRArcAKO16_6_2118,TETRArcAKO16,2118.0,TETRArcAKO16_6,178_982_6,7105.0,1161.0
TETRArcAKO16_7_2118,TETRArcAKO16,2118.0,TETRArcAKO16_7,185_704_8,12706.0,989.0
TETRArcAKO16_8_2118,TETRArcAKO16,2118.0,TETRArcAKO16_8,184_467_7,7725.0,927.0
TETRArcAKO16_9_2118,TETRArcAKO16,2118.0,TETRArcAKO16_9,205_1037_5,4816.0,876.0
TETRArcAKO16_10_2118,TETRArcAKO16,2118.0,TETRArcAKO16_10,212_309_7,8749.0,1165.0
TETRArcAKO16_11_2118,TETRArcAKO16,2118.0,TETRArcAKO16_11,225_699_7,9104.0,1406.0
TETRArcAKO16_12_2118,TETRArcAKO16,2118.0,TETRArcAKO16_12,260_622_7,9215.0,1260.0
TETRArcAKO16_13_2118,TETRArcAKO16,2118.0,TETRArcAKO16_13,288_627_7,9279.0,1446.0
TETRArcAKO16_14_2118,TETRArcAKO16,2118.0,TETRArcAKO16_14,288_317_5,4712.0,783.0
TETRArcAKO16_15_2118,TETRArcAKO16,2118.0,TETRArcAKO16_15,295_365_6,6404.0,1161.0
TETRArcAKO16_16_2118,TETRArcAKO16,2118.0,TETRArcAKO16_16,343_961_5,4746.0,795.0
TETRArcAKO16_17_2118,TETRArcAKO16,2118.0,TETRArcAKO16_17,349_248_6,7341.0,154.0
TETRArcAKO16_18_2118,TETRArcAKO16,2118.0,TETRArcAKO16_18,358_514_6,6493.0,1209.0
TETRArcAKO16_19_2118,TETRArcAKO16,2118.0,TETRArcAKO16_19,375_968_6,6442.0,969.0
TETRArcAKO16_20_2118,TETRArcAKO16,2118.0,TETRArcAKO16_20,376_151_7,7724.0,1030.0
TETRArcAKO16_21_2118,TETRArcAKO16,2118.0,TETRArcAKO16_21,447_540_6,6442.0,1016.0
TETRArcAKO16_22_2118,TETRArcAKO16,2118.0,TETRArcAKO16_22,448_500_5,4677.0,748.0
TETRArcAKO16_23_2118,TETRArcAKO16,2118.0,TETRArcAKO16_23,495_916_7,7821.0,1248.0
TETRArcAKO16_24_2118,TETRArcAKO16,2118.0,TETRArcAKO16_24,497_256_6,5806.0,947.0
TETRArcAKO16_25_2118,TETRArcAKO16,2118.0,TETRArcAKO16_25,511_557_7,9202.0,1273.0
TETRArcAKO16_26_2118,TETRArcAKO16,2118.0,TETRArcAKO16_26,516_994_7,9162.0,1231.0
