,Cell_type,Time,Spot,Spot_loc,Growth
TetR16_13_1611,TetR16,1611.0,TetR16_13,600_646_10,17255.0
TetR16_14_1611,TetR16,1611.0,TetR16_14,605_15_9,17059.0
TetR16_15_1611,TetR16,1611.0,TetR16_15,633_800_15,41782.0
TetR16_16_1611,TetR16,1611.0,TetR16_16,635_263_15,38870.0
TetR16_17_1611,TetR16,1611.0,TetR16_17,660_667_13,38126.0
TetR16_18_1611,TetR16,1611.0,TetR16_18,731_512_10,18487.0
TetR16_19_1611,TetR16,1611.0,TetR16_19,739_224_13,33550.0
TetR16_20_1611,TetR16,1611.0,TetR16_20,765_836_10,17811.0
TetR16_21_1611,TetR16,1611.0,TetR16_21,774_388_13,33871.0
TetR16_22_1611,TetR16,1611.0,TetR16_22,856_127_10,19447.0
TetR16_23_1611,TetR16,1611.0,TetR16_23,875_227_10,18732.0
TetR16_24_1611,TetR16,1611.0,TetR16_24,890_634_10,20172.0
TetR16_25_1611,TetR16,1611.0,TetR16_25,1024_515_14,43647.0
TetR16_26_1611,TetR16,1611.0,TetR16_26,1027_572_13,32846.0
TetR16_27_1611,TetR16,1611.0,TetR16_27,1065_1014_13,36599.0
TetR16_28_1611,TetR16,1611.0,TetR16_28,1078_448_12,30777.0
TetR16_29_1611,TetR16,1611.0,TetR16_29,1093_87_11,23567.0
TetR16_0_1565,TetR16,1565.0,TetR16_0,4_1067_6,6520.0
TetR16_1_1565,TetR16,1565.0,TetR16_1,9_1000_6,7108.0
TetR16_2_1565,TetR16,1565.0,TetR16_2,32_882_12,26824.0
TetR16_3_1565,TetR16,1565.0,TetR16_3,240_375_12,25960.0
TetR16_4_1565,TetR16,1565.0,TetR16_4,251_1050_10,19557.0
TetR16_5_1565,TetR16,1565.0,TetR16_5,261_395_12,27907.0
TetR16_6_1565,TetR16,1565.0,TetR16_6,264_572_13,35151.0
TetR16_7_1565,TetR16,1565.0,TetR16_7,432_95_14,40140.0
TetR16_8_1565,TetR16,1565.0,TetR16_8,449_881_11,23877.0
