,Cell_type,Time,Spot,Spot_loc,Growth
TetR16_11_1381,TetR16,1381.0,TetR16_11,543_1020_14,38530.0
TetR16_12_1381,TetR16,1381.0,TetR16_12,570_461_20,59483.0
TetR16_13_1381,TetR16,1381.0,TetR16_13,600_646_10,16429.0
TetR16_14_1381,TetR16,1381.0,TetR16_14,605_15_9,16589.0
TetR16_15_1381,TetR16,1381.0,TetR16_15,633_800_15,40393.0
TetR16_16_1381,TetR16,1381.0,TetR16_16,635_263_15,37485.0
TetR16_17_1381,TetR16,1381.0,TetR16_17,660_667_13,36264.0
TetR16_18_1381,TetR16,1381.0,TetR16_18,731_512_10,17724.0
TetR16_19_1381,TetR16,1381.0,TetR16_19,739_224_13,32291.0
TetR16_20_1381,TetR16,1381.0,TetR16_20,765_836_10,17159.0
TetR16_21_1381,TetR16,1381.0,TetR16_21,774_388_13,32622.0
TetR16_22_1381,TetR16,1381.0,TetR16_22,856_127_10,18704.0
TetR16_23_1381,TetR16,1381.0,TetR16_23,875_227_10,18061.0
TetR16_24_1381,TetR16,1381.0,TetR16_24,890_634_10,19240.0
TetR16_25_1381,TetR16,1381.0,TetR16_25,1024_515_14,41935.0
TetR16_26_1381,TetR16,1381.0,TetR16_26,1027_572_13,31712.0
TetR16_27_1381,TetR16,1381.0,TetR16_27,1065_1014_13,35444.0
TetR16_28_1381,TetR16,1381.0,TetR16_28,1078_448_12,29426.0
TetR16_29_1381,TetR16,1381.0,TetR16_29,1093_87_11,22721.0
TetR16_0_2716,TetR16,2716.0,TetR16_0,4_1067_6,6572.0
TetR16_1_2716,TetR16,2716.0,TetR16_1,9_1000_6,7184.0
TetR16_2_2716,TetR16,2716.0,TetR16_2,32_882_12,31932.0
TetR16_3_2716,TetR16,2716.0,TetR16_3,240_375_12,30965.0
TetR16_4_2716,TetR16,2716.0,TetR16_4,251_1050_10,22821.0
TetR16_5_2716,TetR16,2716.0,TetR16_5,261_395_12,33089.0
TetR16_6_2716,TetR16,2716.0,TetR16_6,264_572_13,40824.0
TetR16_7_2716,TetR16,2716.0,TetR16_7,432_95_14,45732.0
TetR16_8_2716,TetR16,2716.0,TetR16_8,449_881_11,27227.0
TetR16_9_2716,TetR16,2716.0,TetR16_9,468_705_12,35094.0
TetR16_10_2716,TetR16,2716.0,TetR16_10,484_457_14,46516.0
TetR16_11_2716,TetR16,2716.0,TetR16_11,543_1020_14,45823.0
TetR16_12_2716,TetR16,2716.0,TetR16_12,570_461_20,70259.0
TetR16_13_2716,TetR16,2716.0,TetR16_13,600_646_10,20693.0
TetR16_14_2716,TetR16,2716.0,TetR16_14,605_15_9,19847.0
TetR16_15_2716,TetR16,2716.0,TetR16_15,633_800_15,47443.0
TetR16_16_2716,TetR16,2716.0,TetR16_16,635_263_15,44405.0
TetR16_17_2716,TetR16,2716.0,TetR16_17,660_667_13,44066.0
TetR16_18_2716,TetR16,2716.0,TetR16_18,731_512_10,21571.0
TetR16_19_2716,TetR16,2716.0,TetR16_19,739_224_13,38601.0
TetR16_20_2716,TetR16,2716.0,TetR16_20,765_836_10,21088.0
TetR16_21_2716,TetR16,2716.0,TetR16_21,774_388_13,40366.0
TetR16_22_2716,TetR16,2716.0,TetR16_22,856_127_10,22362.0
TetR16_23_2716,TetR16,2716.0,TetR16_23,875_227_10,21983.0
TetR16_24_2716,TetR16,2716.0,TetR16_24,890_634_10,23709.0
TetR16_25_2716,TetR16,2716.0,TetR16_25,1024_515_14,49577.0
TetR16_26_2716,TetR16,2716.0,TetR16_26,1027_572_13,38806.0
TetR16_27_2716,TetR16,2716.0,TetR16_27,1065_1014_13,42026.0
TetR16_28_2716,TetR16,2716.0,TetR16_28,1078_448_12,35366.0
TetR16_29_2716,TetR16,2716.0,TetR16_29,1093_87_11,26778.0
TetR16_0_598,TetR16,598.0,TetR16_0,4_1067_6,6524.0
TetR16_1_598,TetR16,598.0,TetR16_1,9_1000_6,7065.0
TetR16_2_598,TetR16,598.0,TetR16_2,32_882_12,24873.0
TetR16_3_598,TetR16,598.0,TetR16_3,240_375_12,23913.0
TetR16_4_598,TetR16,598.0,TetR16_4,251_1050_10,18212.0
TetR16_5_598,TetR16,598.0,TetR16_5,261_395_12,25180.0
TetR16_6_598,TetR16,598.0,TetR16_6,264_572_13,31025.0
TetR16_7_598,TetR16,598.0,TetR16_7,432_95_14,37721.0
TetR16_8_598,TetR16,598.0,TetR16_8,449_881_11,22308.0
TetR16_9_598,TetR16,598.0,TetR16_9,468_705_12,27239.0
TetR16_10_598,TetR16,598.0,TetR16_10,484_457_14,36635.0
TetR16_11_598,TetR16,598.0,TetR16_11,543_1020_14,36263.0
TetR16_12_598,TetR16,598.0,TetR16_12,570_461_20,55886.0
TetR16_13_598,TetR16,598.0,TetR16_13,600_646_10,15227.0
TetR16_14_598,TetR16,598.0,TetR16_14,605_15_9,15827.0
TetR16_15_598,TetR16,598.0,TetR16_15,633_800_15,37212.0
TetR16_16_598,TetR16,598.0,TetR16_16,635_263_15,35401.0
TetR16_17_598,TetR16,598.0,TetR16_17,660_667_13,33117.0
TetR16_18_598,TetR16,598.0,TetR16_18,731_512_10,16462.0
TetR16_19_598,TetR16,598.0,TetR16_19,739_224_13,29864.0
TetR16_20_598,TetR16,598.0,TetR16_20,765_836_10,16183.0
TetR16_21_598,TetR16,598.0,TetR16_21,774_388_13,30619.0
TetR16_22_598,TetR16,598.0,TetR16_22,856_127_10,17318.0
TetR16_23_598,TetR16,598.0,TetR16_23,875_227_10,16883.0
TetR16_24_598,TetR16,598.0,TetR16_24,890_634_10,17815.0
TetR16_25_598,TetR16,598.0,TetR16_25,1024_515_14,38101.0
TetR16_26_598,TetR16,598.0,TetR16_26,1027_572_13,29512.0
TetR16_27_598,TetR16,598.0,TetR16_27,1065_1014_13,33085.0
TetR16_28_598,TetR16,598.0,TetR16_28,1078_448_12,27003.0
TetR16_29_598,TetR16,598.0,TetR16_29,1093_87_11,21032.0
TetR16_0_1151,TetR16,1151.0,TetR16_0,4_1067_6,6548.0
TetR16_1_1151,TetR16,1151.0,TetR16_1,9_1000_6,7109.0
TetR16_2_1151,TetR16,1151.0,TetR16_2,32_882_12,25590.0
TetR16_3_1151,TetR16,1151.0,TetR16_3,240_375_12,24546.0
TetR16_4_1151,TetR16,1151.0,TetR16_4,251_1050_10,18773.0
TetR16_5_1151,TetR16,1151.0,TetR16_5,261_395_12,26307.0
TetR16_6_1151,TetR16,1151.0,TetR16_6,264_572_13,33118.0
TetR16_7_1151,TetR16,1151.0,TetR16_7,432_95_14,38646.0
TetR16_8_1151,TetR16,1151.0,TetR16_8,449_881_11,22879.0
TetR16_9_1151,TetR16,1151.0,TetR16_9,468_705_12,28496.0
TetR16_10_1151,TetR16,1151.0,TetR16_10,484_457_14,38226.0
TetR16_11_1151,TetR16,1151.0,TetR16_11,543_1020_14,37826.0
TetR16_12_1151,TetR16,1151.0,TetR16_12,570_461_20,58402.0
TetR16_13_1151,TetR16,1151.0,TetR16_13,600_646_10,15923.0
TetR16_14_1151,TetR16,1151.0,TetR16_14,605_15_9,16247.0
TetR16_15_1151,TetR16,1151.0,TetR16_15,633_800_15,39365.0
TetR16_16_1151,TetR16,1151.0,TetR16_16,635_263_15,36696.0
TetR16_17_1151,TetR16,1151.0,TetR16_17,660_667_13,35323.0
TetR16_18_1151,TetR16,1151.0,TetR16_18,731_512_10,17222.0
TetR16_19_1151,TetR16,1151.0,TetR16_19,739_224_13,31424.0
TetR16_20_1151,TetR16,1151.0,TetR16_20,765_836_10,16659.0
TetR16_21_1151,TetR16,1151.0,TetR16_21,774_388_13,31993.0
TetR16_22_1151,TetR16,1151.0,TetR16_22,856_127_10,18097.0
TetR16_23_1151,TetR16,1151.0,TetR16_23,875_227_10,17562.0
TetR16_24_1151,TetR16,1151.0,TetR16_24,890_634_10,18628.0
TetR16_25_1151,TetR16,1151.0,TetR16_25,1024_515_14,40513.0
TetR16_26_1151,TetR16,1151.0,TetR16_26,1027_572_13,30971.0
TetR16_27_1151,TetR16,1151.0,TetR16_27,1065_1014_13,34530.0
TetR16_28_1151,TetR16,1151.0,TetR16_28,1078_448_12,28532.0
TetR16_29_1151,TetR16,1151.0,TetR16_29,1093_87_11,21928.0
TetR16_0_2302,TetR16,2302.0,TetR16_0,4_1067_6,6570.0
TetR16_1_2302,TetR16,2302.0,TetR16_1,9_1000_6,7172.0
TetR16_2_2302,TetR16,2302.0,TetR16_2,32_882_12,30148.0
TetR16_3_2302,TetR16,2302.0,TetR16_3,240_375_12,28566.0
TetR16_4_2302,TetR16,2302.0,TetR16_4,251_1050_10,21721.0
TetR16_5_2302,TetR16,2302.0,TetR16_5,261_395_12,31356.0
TetR16_6_2302,TetR16,2302.0,TetR16_6,264_572_13,39057.0
TetR16_7_2302,TetR16,2302.0,TetR16_7,432_95_14,43617.0
TetR16_8_2302,TetR16,2302.0,TetR16_8,449_881_11,26043.0
TetR16_9_2302,TetR16,2302.0,TetR16_9,468_705_12,32917.0
TetR16_10_2302,TetR16,2302.0,TetR16_10,484_457_14,43877.0
TetR16_11_2302,TetR16,2302.0,TetR16_11,543_1020_14,43733.0
TetR16_12_2302,TetR16,2302.0,TetR16_12,570_461_20,67155.0
TetR16_13_2302,TetR16,2302.0,TetR16_13,600_646_10,19507.0
TetR16_14_2302,TetR16,2302.0,TetR16_14,605_15_9,19011.0
TetR16_15_2302,TetR16,2302.0,TetR16_15,633_800_15,45410.0
TetR16_16_2302,TetR16,2302.0,TetR16_16,635_263_15,42718.0
TetR16_17_2302,TetR16,2302.0,TetR16_17,660_667_13,41941.0
TetR16_18_2302,TetR16,2302.0,TetR16_18,731_512_10,20626.0
TetR16_19_2302,TetR16,2302.0,TetR16_19,739_224_13,36960.0
TetR16_20_2302,TetR16,2302.0,TetR16_20,765_836_10,20069.0
TetR16_21_2302,TetR16,2302.0,TetR16_21,774_388_13,38003.0
TetR16_22_2302,TetR16,2302.0,TetR16_22,856_127_10,21314.0
TetR16_23_2302,TetR16,2302.0,TetR16_23,875_227_10,20978.0
TetR16_24_2302,TetR16,2302.0,TetR16_24,890_634_10,22351.0
TetR16_25_2302,TetR16,2302.0,TetR16_25,1024_515_14,47411.0
TetR16_26_2302,TetR16,2302.0,TetR16_26,1027_572_13,36426.0
TetR16_27_2302,TetR16,2302.0,TetR16_27,1065_1014_13,39686.0
TetR16_28_2302,TetR16,2302.0,TetR16_28,1078_448_12,33859.0
TetR16_29_2302,TetR16,2302.0,TetR16_29,1093_87_11,25692.0
TetR16_0_1795,TetR16,1795.0,TetR16_0,4_1067_6,6547.0
TetR16_1_1795,TetR16,1795.0,TetR16_1,9_1000_6,7138.0
TetR16_2_1795,TetR16,1795.0,TetR16_2,32_882_12,27634.0
TetR16_3_1795,TetR16,1795.0,TetR16_3,240_375_12,26453.0
TetR16_4_1795,TetR16,1795.0,TetR16_4,251_1050_10,20304.0
TetR16_5_1795,TetR16,1795.0,TetR16_5,261_395_12,28903.0
TetR16_6_1795,TetR16,1795.0,TetR16_6,264_572_13,36538.0
TetR16_7_1795,TetR16,1795.0,TetR16_7,432_95_14,40850.0
TetR16_8_1795,TetR16,1795.0,TetR16_8,449_881_11,24468.0
TetR16_9_1795,TetR16,1795.0,TetR16_9,468_705_12,30785.0
TetR16_10_1795,TetR16,1795.0,TetR16_10,484_457_14,40385.0
TetR16_11_1795,TetR16,1795.0,TetR16_11,543_1020_14,41169.0
TetR16_12_1795,TetR16,1795.0,TetR16_12,570_461_20,62982.0
TetR16_13_1795,TetR16,1795.0,TetR16_13,600_646_10,17846.0
TetR16_14_1795,TetR16,1795.0,TetR16_14,605_15_9,17650.0
TetR16_15_1795,TetR16,1795.0,TetR16_15,633_800_15,43103.0
TetR16_16_1795,TetR16,1795.0,TetR16_16,635_263_15,39601.0
TetR16_17_1795,TetR16,1795.0,TetR16_17,660_667_13,39052.0
TetR16_18_1795,TetR16,1795.0,TetR16_18,731_512_10,19142.0
TetR16_19_1795,TetR16,1795.0,TetR16_19,739_224_13,34246.0
TetR16_20_1795,TetR16,1795.0,TetR16_20,765_836_10,18569.0
TetR16_21_1795,TetR16,1795.0,TetR16_21,774_388_13,34712.0
TetR16_22_1795,TetR16,1795.0,TetR16_22,856_127_10,19929.0
TetR16_23_1795,TetR16,1795.0,TetR16_23,875_227_10,19390.0
TetR16_24_1795,TetR16,1795.0,TetR16_24,890_634_10,20689.0
TetR16_25_1795,TetR16,1795.0,TetR16_25,1024_515_14,44443.0
TetR16_26_1795,TetR16,1795.0,TetR16_26,1027_572_13,33673.0
TetR16_27_1795,TetR16,1795.0,TetR16_27,1065_1014_13,37103.0
TetR16_28_1795,TetR16,1795.0,TetR16_28,1078_448_12,31712.0
TetR16_29_1795,TetR16,1795.0,TetR16_29,1093_87_11,24139.0
TetR16_0_2670,TetR16,2670.0,TetR16_0,4_1067_6,6559.0
TetR16_1_2670,TetR16,2670.0,TetR16_1,9_1000_6,7174.0
TetR16_2_2670,TetR16,2670.0,TetR16_2,32_882_12,31792.0
TetR16_3_2670,TetR16,2670.0,TetR16_3,240_375_12,30682.0
TetR16_4_2670,TetR16,2670.0,TetR16_4,251_1050_10,22664.0
TetR16_5_2670,TetR16,2670.0,TetR16_5,261_395_12,32814.0
TetR16_6_2670,TetR16,2670.0,TetR16_6,264_572_13,40578.0
TetR16_7_2670,TetR16,2670.0,TetR16_7,432_95_14,45556.0
TetR16_8_2670,TetR16,2670.0,TetR16_8,449_881_11,27100.0
TetR16_9_2670,TetR16,2670.0,TetR16_9,468_705_12,34959.0
TetR16_10_2670,TetR16,2670.0,TetR16_10,484_457_14,46158.0
TetR16_11_2670,TetR16,2670.0,TetR16_11,543_1020_14,45724.0
TetR16_12_2670,TetR16,2670.0,TetR16_12,570_461_20,69826.0
TetR16_13_2670,TetR16,2670.0,TetR16_13,600_646_10,20515.0
TetR16_14_2670,TetR16,2670.0,TetR16_14,605_15_9,19772.0
TetR16_15_2670,TetR16,2670.0,TetR16_15,633_800_15,47239.0
TetR16_16_2670,TetR16,2670.0,TetR16_16,635_263_15,44265.0
TetR16_17_2670,TetR16,2670.0,TetR16_17,660_667_13,43871.0
TetR16_18_2670,TetR16,2670.0,TetR16_18,731_512_10,21484.0
TetR16_19_2670,TetR16,2670.0,TetR16_19,739_224_13,38415.0
TetR16_20_2670,TetR16,2670.0,TetR16_20,765_836_10,20945.0
TetR16_21_2670,TetR16,2670.0,TetR16_21,774_388_13,39978.0
TetR16_22_2670,TetR16,2670.0,TetR16_22,856_127_10,22208.0
TetR16_23_2670,TetR16,2670.0,TetR16_23,875_227_10,21841.0
TetR16_24_2670,TetR16,2670.0,TetR16_24,890_634_10,23572.0
TetR16_25_2670,TetR16,2670.0,TetR16_25,1024_515_14,49407.0
TetR16_26_2670,TetR16,2670.0,TetR16_26,1027_572_13,38510.0
TetR16_27_2670,TetR16,2670.0,TetR16_27,1065_1014_13,41790.0
TetR16_28_2670,TetR16,2670.0,TetR16_28,1078_448_12,35200.0
TetR16_29_2670,TetR16,2670.0,TetR16_29,1093_87_11,26748.0
Pbr8_0_2164,Pbr8,2164.0,Pbr8_0,11_868_16,49340.0
Pbr8_1_2164,Pbr8,2164.0,Pbr8_1,71_819_19,70868.0
Pbr8_2_2164,Pbr8,2164.0,Pbr8_2,83_620_19,72821.0
Pbr8_3_2164,Pbr8,2164.0,Pbr8_3,174_529_8,14638.0
Pbr8_4_2164,Pbr8,2164.0,Pbr8_4,200_211_20,93370.0
Pbr8_5_2164,Pbr8,2164.0,Pbr8_5,214_569_20,82882.0
Pbr8_6_2164,Pbr8,2164.0,Pbr8_6,256_516_19,78264.0
Pbr8_7_2164,Pbr8,2164.0,Pbr8_7,311_898_20,84509.0
Pbr8_8_2164,Pbr8,2164.0,Pbr8_8,327_223_20,92172.0
Pbr8_9_2164,Pbr8,2164.0,Pbr8_9,316_2_6,3950.0
Pbr8_10_2164,Pbr8,2164.0,Pbr8_10,384_579_19,80123.0
Pbr8_11_2164,Pbr8,2164.0,Pbr8_11,450_638_20,81927.0
Pbr8_12_2164,Pbr8,2164.0,Pbr8_12,472_475_19,79202.0
Pbr8_13_2164,Pbr8,2164.0,Pbr8_13,506_1093_20,72928.0
Pbr8_14_2164,Pbr8,2164.0,Pbr8_14,544_436_19,79214.0
Pbr8_15_2164,Pbr8,2164.0,Pbr8_15,596_346_20,90525.0
Pbr8_16_2164,Pbr8,2164.0,Pbr8_16,687_912_20,86156.0
Pbr8_17_2164,Pbr8,2164.0,Pbr8_17,710_81_9,12701.0
Pbr8_18_2164,Pbr8,2164.0,Pbr8_18,778_95_9,18669.0
Pbr8_19_2164,Pbr8,2164.0,Pbr8_19,814_617_20,86788.0
Pbr8_20_2164,Pbr8,2164.0,Pbr8_20,903_515_18,78988.0
Pbr8_21_2164,Pbr8,2164.0,Pbr8_21,945_898_25,76663.0
Pbr8_22_2164,Pbr8,2164.0,Pbr8_22,947_835_19,67099.0
Pbr8_23_2164,Pbr8,2164.0,Pbr8_23,1024_550_20,87589.0
Pbr8_0_1243,Pbr8,1243.0,Pbr8_0,11_868_16,40385.0
Pbr8_1_1243,Pbr8,1243.0,Pbr8_1,71_819_19,60372.0
Pbr8_2_1243,Pbr8,1243.0,Pbr8_2,83_620_19,62570.0
Pbr8_3_1243,Pbr8,1243.0,Pbr8_3,174_529_8,13320.0
Pbr8_4_1243,Pbr8,1243.0,Pbr8_4,200_211_20,81331.0
Pbr8_5_1243,Pbr8,1243.0,Pbr8_5,214_569_20,70149.0
Pbr8_6_1243,Pbr8,1243.0,Pbr8_6,256_516_19,68012.0
Pbr8_7_1243,Pbr8,1243.0,Pbr8_7,311_898_20,72250.0
Pbr8_8_1243,Pbr8,1243.0,Pbr8_8,327_223_20,81297.0
Pbr8_9_1243,Pbr8,1243.0,Pbr8_9,316_2_6,3803.0
Pbr8_10_1243,Pbr8,1243.0,Pbr8_10,384_579_19,69217.0
Pbr8_11_1243,Pbr8,1243.0,Pbr8_11,450_638_20,69464.0
Pbr8_12_1243,Pbr8,1243.0,Pbr8_12,472_475_19,68147.0
Pbr8_13_1243,Pbr8,1243.0,Pbr8_13,506_1093_20,60876.0
Pbr8_14_1243,Pbr8,1243.0,Pbr8_14,544_436_19,68381.0
Pbr8_15_1243,Pbr8,1243.0,Pbr8_15,596_346_20,78863.0
Pbr8_16_1243,Pbr8,1243.0,Pbr8_16,687_912_20,73409.0
Pbr8_17_1243,Pbr8,1243.0,Pbr8_17,710_81_9,11741.0
Pbr8_18_1243,Pbr8,1243.0,Pbr8_18,778_95_9,17087.0
Pbr8_19_1243,Pbr8,1243.0,Pbr8_19,814_617_20,74529.0
Pbr8_20_1243,Pbr8,1243.0,Pbr8_20,903_515_18,67462.0
Pbr8_21_1243,Pbr8,1243.0,Pbr8_21,945_898_25,64090.0
Pbr8_22_1243,Pbr8,1243.0,Pbr8_22,947_835_19,58111.0
Pbr8_23_1243,Pbr8,1243.0,Pbr8_23,1024_550_20,76646.0
Pbr8_0_2762,Pbr8,2762.0,Pbr8_0,11_868_16,53946.0
Pbr8_1_2762,Pbr8,2762.0,Pbr8_1,71_819_19,77905.0
Pbr8_2_2762,Pbr8,2762.0,Pbr8_2,83_620_19,79387.0
Pbr8_3_2762,Pbr8,2762.0,Pbr8_3,174_529_8,14973.0
Pbr8_4_2762,Pbr8,2762.0,Pbr8_4,200_211_20,100083.0
Pbr8_5_2762,Pbr8,2762.0,Pbr8_5,214_569_20,90655.0
Pbr8_6_2762,Pbr8,2762.0,Pbr8_6,256_516_19,85016.0
Pbr8_7_2762,Pbr8,2762.0,Pbr8_7,311_898_20,92560.0
Pbr8_8_2762,Pbr8,2762.0,Pbr8_8,327_223_20,98001.0
Pbr8_9_2762,Pbr8,2762.0,Pbr8_9,316_2_6,4635.0
Pbr8_10_2762,Pbr8,2762.0,Pbr8_10,384_579_19,87581.0
Pbr8_11_2762,Pbr8,2762.0,Pbr8_11,450_638_20,89731.0
Pbr8_12_2762,Pbr8,2762.0,Pbr8_12,472_475_19,85561.0
Pbr8_13_2762,Pbr8,2762.0,Pbr8_13,506_1093_20,78587.0
Pbr8_14_2762,Pbr8,2762.0,Pbr8_14,544_436_19,85529.0
Pbr8_15_2762,Pbr8,2762.0,Pbr8_15,596_346_20,97139.0
Pbr8_16_2762,Pbr8,2762.0,Pbr8_16,687_912_20,94610.0
Pbr8_17_2762,Pbr8,2762.0,Pbr8_17,710_81_9,12925.0
Pbr8_18_2762,Pbr8,2762.0,Pbr8_18,778_95_9,19405.0
Pbr8_19_2762,Pbr8,2762.0,Pbr8_19,814_617_20,94431.0
Pbr8_20_2762,Pbr8,2762.0,Pbr8_20,903_515_18,85954.0
Pbr8_21_2762,Pbr8,2762.0,Pbr8_21,945_898_25,82060.0
Pbr8_22_2762,Pbr8,2762.0,Pbr8_22,947_835_19,72708.0
Pbr8_23_2762,Pbr8,2762.0,Pbr8_23,1024_550_20,95057.0
Pbr8_0_1519,Pbr8,1519.0,Pbr8_0,11_868_16,43322.0
Pbr8_1_1519,Pbr8,1519.0,Pbr8_1,71_819_19,63113.0
Pbr8_2_1519,Pbr8,1519.0,Pbr8_2,83_620_19,65218.0
Pbr8_3_1519,Pbr8,1519.0,Pbr8_3,174_529_8,13650.0
Pbr8_4_1519,Pbr8,1519.0,Pbr8_4,200_211_20,85201.0
Pbr8_5_1519,Pbr8,1519.0,Pbr8_5,214_569_20,74207.0
Pbr8_6_1519,Pbr8,1519.0,Pbr8_6,256_516_19,71007.0
Pbr8_7_1519,Pbr8,1519.0,Pbr8_7,311_898_20,75652.0
Pbr8_8_1519,Pbr8,1519.0,Pbr8_8,327_223_20,84676.0
Pbr8_9_1519,Pbr8,1519.0,Pbr8_9,316_2_6,3824.0
Pbr8_10_1519,Pbr8,1519.0,Pbr8_10,384_579_19,72205.0
Pbr8_11_1519,Pbr8,1519.0,Pbr8_11,450_638_20,73270.0
Pbr8_12_1519,Pbr8,1519.0,Pbr8_12,472_475_19,71259.0
Pbr8_13_1519,Pbr8,1519.0,Pbr8_13,506_1093_20,64047.0
Pbr8_14_1519,Pbr8,1519.0,Pbr8_14,544_436_19,71457.0
Pbr8_15_1519,Pbr8,1519.0,Pbr8_15,596_346_20,82048.0
Pbr8_16_1519,Pbr8,1519.0,Pbr8_16,687_912_20,77062.0
Pbr8_17_1519,Pbr8,1519.0,Pbr8_17,710_81_9,12082.0
Pbr8_18_1519,Pbr8,1519.0,Pbr8_18,778_95_9,17533.0
Pbr8_19_1519,Pbr8,1519.0,Pbr8_19,814_617_20,77796.0
Pbr8_20_1519,Pbr8,1519.0,Pbr8_20,903_515_18,71120.0
Pbr8_21_1519,Pbr8,1519.0,Pbr8_21,945_898_25,67828.0
Pbr8_22_1519,Pbr8,1519.0,Pbr8_22,947_835_19,60882.0
Pbr8_23_1519,Pbr8,1519.0,Pbr8_23,1024_550_20,80010.0
Pbr8_0_46,Pbr8,46.0,Pbr8_0,11_868_16,34477.0
Pbr8_1_46,Pbr8,46.0,Pbr8_1,71_819_19,52350.0
Pbr8_2_46,Pbr8,46.0,Pbr8_2,83_620_19,55775.0
Pbr8_3_46,Pbr8,46.0,Pbr8_3,174_529_8,11502.0
Pbr8_4_46,Pbr8,46.0,Pbr8_4,200_211_20,73318.0
Pbr8_5_46,Pbr8,46.0,Pbr8_5,214_569_20,62783.0
Pbr8_6_46,Pbr8,46.0,Pbr8_6,256_516_19,59720.0
Pbr8_7_46,Pbr8,46.0,Pbr8_7,311_898_20,63410.0
Pbr8_8_46,Pbr8,46.0,Pbr8_8,327_223_20,73435.0
Pbr8_9_46,Pbr8,46.0,Pbr8_9,316_2_6,3758.0
Pbr8_10_46,Pbr8,46.0,Pbr8_10,384_579_19,61007.0
Pbr8_11_46,Pbr8,46.0,Pbr8_11,450_638_20,61844.0
Pbr8_12_46,Pbr8,46.0,Pbr8_12,472_475_19,59634.0
Pbr8_13_46,Pbr8,46.0,Pbr8_13,506_1093_20,52432.0
Pbr8_14_46,Pbr8,46.0,Pbr8_14,544_436_19,60576.0
Pbr8_15_46,Pbr8,46.0,Pbr8_15,596_346_20,70390.0
Pbr8_16_46,Pbr8,46.0,Pbr8_16,687_912_20,65838.0
Pbr8_17_46,Pbr8,46.0,Pbr8_17,710_81_9,10124.0
Pbr8_18_46,Pbr8,46.0,Pbr8_18,778_95_9,15053.0
Pbr8_19_46,Pbr8,46.0,Pbr8_19,814_617_20,66261.0
Pbr8_20_46,Pbr8,46.0,Pbr8_20,903_515_18,61191.0
Pbr8_21_46,Pbr8,46.0,Pbr8_21,945_898_25,56681.0
Pbr8_22_46,Pbr8,46.0,Pbr8_22,947_835_19,51619.0
Pbr8_23_46,Pbr8,46.0,Pbr8_23,1024_550_20,69742.0
Pbr8_0_828,Pbr8,828.0,Pbr8_0,11_868_16,37283.0
Pbr8_1_828,Pbr8,828.0,Pbr8_1,71_819_19,55448.0
Pbr8_2_828,Pbr8,828.0,Pbr8_2,83_620_19,59379.0
Pbr8_3_828,Pbr8,828.0,Pbr8_3,174_529_8,12553.0
Pbr8_4_828,Pbr8,828.0,Pbr8_4,200_211_20,76502.0
Pbr8_5_828,Pbr8,828.0,Pbr8_5,214_569_20,66142.0
Pbr8_6_828,Pbr8,828.0,Pbr8_6,256_516_19,63442.0
Pbr8_7_828,Pbr8,828.0,Pbr8_7,311_898_20,67987.0
Pbr8_8_828,Pbr8,828.0,Pbr8_8,327_223_20,76929.0
Pbr8_9_828,Pbr8,828.0,Pbr8_9,316_2_6,3773.0
Pbr8_10_828,Pbr8,828.0,Pbr8_10,384_579_19,64982.0
Pbr8_11_828,Pbr8,828.0,Pbr8_11,450_638_20,65238.0
Pbr8_12_828,Pbr8,828.0,Pbr8_12,472_475_19,63580.0
Pbr8_13_828,Pbr8,828.0,Pbr8_13,506_1093_20,56555.0
Pbr8_14_828,Pbr8,828.0,Pbr8_14,544_436_19,63630.0
Pbr8_15_828,Pbr8,828.0,Pbr8_15,596_346_20,74490.0
Pbr8_16_828,Pbr8,828.0,Pbr8_16,687_912_20,68919.0
Pbr8_17_828,Pbr8,828.0,Pbr8_17,710_81_9,11036.0
Pbr8_18_828,Pbr8,828.0,Pbr8_18,778_95_9,16322.0
Pbr8_19_828,Pbr8,828.0,Pbr8_19,814_617_20,69880.0
Pbr8_20_828,Pbr8,828.0,Pbr8_20,903_515_18,63410.0
Pbr8_21_828,Pbr8,828.0,Pbr8_21,945_898_25,59271.0
Pbr8_22_828,Pbr8,828.0,Pbr8_22,947_835_19,54511.0
Pbr8_23_828,Pbr8,828.0,Pbr8_23,1024_550_20,72253.0
Pbr8_0_1888,Pbr8,1888.0,Pbr8_0,11_868_16,46821.0
Pbr8_1_1888,Pbr8,1888.0,Pbr8_1,71_819_19,67254.0
Pbr8_2_1888,Pbr8,1888.0,Pbr8_2,83_620_19,69725.0
Pbr8_3_1888,Pbr8,1888.0,Pbr8_3,174_529_8,14254.0
Pbr8_4_1888,Pbr8,1888.0,Pbr8_4,200_211_20,89586.0
Pbr8_5_1888,Pbr8,1888.0,Pbr8_5,214_569_20,79142.0
Pbr8_6_1888,Pbr8,1888.0,Pbr8_6,256_516_19,75229.0
Pbr8_7_1888,Pbr8,1888.0,Pbr8_7,311_898_20,80599.0
Pbr8_8_1888,Pbr8,1888.0,Pbr8_8,327_223_20,88914.0
Pbr8_9_1888,Pbr8,1888.0,Pbr8_9,316_2_6,3840.0
Pbr8_10_1888,Pbr8,1888.0,Pbr8_10,384_579_19,76830.0
Pbr8_11_1888,Pbr8,1888.0,Pbr8_11,450_638_20,77966.0
Pbr8_12_1888,Pbr8,1888.0,Pbr8_12,472_475_19,75667.0
Pbr8_13_1888,Pbr8,1888.0,Pbr8_13,506_1093_20,69509.0
