Corem,Genes
541149,b0384;b1188;b1478;b1784;b3073;b3361;b1783;b3362
541152,b0453;b0871;b1051;b1732;b1783;b1784;b1896;b1897;b1967;b2464;b3073;b3361;b2097;b2465;b4376
541153,b1197;b1276;b1783;b1784;b3073;b3361
541154,b0906;b1285;b1614;b1668;b1678;b1783;b1784;b1990;b3073;b3153;b3361;b3524;b4263;b4269;b3522
541156,b0329;b1482;b1783;b3073;b3361
541162,b1783;b1784;b3073;b3361
542434,b0651;b0679;b0757;b0758;b0759;b1594;b1817;b1818;b1819;b2091;b2092;b2093;b2094;b2095;b2096;b2964;b3403;b3416;b3417;b3418;b3599;b3707;b3751;b3752;b4032;b4033;b4034;b4035;b4036;b4037;b4239;b4240;b1853;b3749
542442,b1103;b1104;b1105;b1817;b1818
542443,b0440;b0957;b1174;b1175;b1237;b1241;b1676;b1677;b1779;b1817;b1818;b1819;b2215;b2293;b2294;b2415;b2416;b2417;b2779;b2925;b2926;b3916;b3919;b4000
542446,b1817;b1818;b1819
543531,b0273;b1849;b2476;b3359;b3957;b3959;b3960;b3172;b3869;b3958;b4005;b4006
543608,b1511;b1512;b1513;b1515;b1516;b1517;b1518;b2148;b2149;b2150;b2151;b3708;b3748;b3749;b3750;b3751;b1853;b1976;b2126;b2964;b3403;b2805;b4240;b4357
544452,b0370;b1160;b1161;b1470;b1549;b1877;b2376;b2846;b2848;b2849;b2850;b2851;b2857
544483,b1527;b1877;b1936;b2345;b2376;b3120;b4047;b4066;b2650
544522,b0324;b0689;b1879;b1880;b2043;b2045;b2144
544526,b0553;b0651;b0679;b0757;b0758;b1594;b1853;b1879;b1891;b1892;b4239;b1976;b2091;b2092;b2093;b2094;b2095;b2096;b2126;b3403;b3418;b3707;b3708;b3750
544780,b0445;b1440;b1441;b1442;b1443;b1444;b1901;b2146;b2219;b2247;b2799;b2800;b2869;b2875;b2876;b3128;b3566;b4119;b4228;b4227;b4229;b4230;b4231;b4301;b4302;b4304;b4305;b4300
544782,b1511;b1512;b1513;b1515;b1516;b1517;b1518;b1901;b2219;b2220;b2799;b2869;b3128;b4118;b4119;b2800;b2247;b2876;b3566
544785,b0445;b0598;b0651;b0679;b1594;b1853;b1901;b1976;b2126;b2146;b2148;b2149;b2150;b2151;b2219;b2220;b2247;b2426;b2799;b2800;b2805;b2869;b2875;b2876;b2964;b3128;b3416;b3417;b3418;b3566;b3599;b3708;b3748;b3749;b3750;b3751;b3752;b3927;b4032;b4033;b4035;b4036;b4037;b4118;b4119;b4139;b4357;b3707;b3832;b4239;b4240;b4216
544847,b0259;b0552;b0656;b1331;b1370;b1905;b1994;b2030;b2192;b2296;b2297;b2982;b3218;b3505
545183,b0828;b1287;b1729;b1917;b1918;b1919;b1920;b2012;b2013;b2414;b2421;b2422;b2423;b2424;b2425;b2749;b2750;b2751;b2752;b2762;b2763;b2764;b3917
545184,b0829;b0830;b0831;b0832;b1917;b1918;b1919;b2749
545185,b0652;b0653;b0854;b0855;b0856;b0857;b1917;b1918;b1919;b2307;b2308;b2309
545232,b1917;b1918;b1919;b2749
545683,b0906;b0999;b1285;b1614;b1661;b1668;b1956;b1990;b3153;b3522;b3524;b4167;b4187;b3491;b3513;b3515;b3922;b4056;b4057;b3923;b4263;b4269
547390,b0809;b0810;b2019;b2020;b2021;b2022;b2023;b2024;b2026
547493,b2032;b2033;b2034;b2035;b2036;b2037;b2038;b2039;b2040;b2041;b2350;b2351;b2352;b3618;b3622;b3623;b3624;b3625;b3626;b3627;b3628;b3629;b3630;b3631;b3632;b3974
547502,b1204;b1727;b2040;b2041
547622,b2047;b2048;b2049;b2050
547625,b0271;b0348;b0350;b0351;b0352;b2049;b2050;b2047
547642,b0507;b0548;b0549;b0824;b1155;b1156;b1525;b2051;b2052;b2057
547653,b1148;b1151;b1152;b2052;b2051
547663,b2047;b2048;b2049;b2050;b2051;b2052;b2057
547679,b2051;b2052;b2057
547737,b2047;b2049;b2050;b2054;b2055;b2056
547738,b2051;b2052;b2054;b2055;b2056;b2057
547747,b0571;b0572;b0573;b0574;b0575;b2055;b2056
547776,b2054;b2055;b2056
547855,b1310;b1312;b1313;b1388;b2059;b2060;b2062
547870,b2047;b2048;b2049;b2050;b2059;b2060;b2062
547871,b2051;b2052;b2057;b2059;b2060;b2062
547873,b2054;b2055;b2056;b2059;b2060;b2062
547897,b2059;b2060;b2062
548774,b0733;b0734;b2091;b2092;b2093;b2094;b2095;b2096
548776,b0552;b0656;b1994;b2030;b2093;b2094;b2095;b2096;b3218;b2982
550219,b0445;b0880;b1002;b1205;b1376;b1406;b1901;b2146;b2219;b2220;b2247;b2584;b2597;b2799;b2800;b2869;b2875;b2876;b2877;b3001;b3087;b4118;b4119;b3128;b4188;b4189;b3566
550226,b0445;b1901;b2146;b2219;b2220;b2247;b2799;b2800;b2869;b2875;b2876;b3128;b3566;b4118;b4119
550965,b1250;b2177;b2179;b2180;b2332;b2627
552029,b0636;b1807;b2231;b3232;b3613;b3699;b3778;b3813;b3865;b3973;b4049;b4389;b4053;b4388;b4052;b4233
552316,b0598;b0651;b0679;b0757;b0758;b0759;b1594;b1853;b1976;b2126;b2148;b2149;b2150;b2151;b2239;b2240;b2241;b2242;b2243;b2426;b2805;b2964;b3403;b3599;b3707;b3708;b3926;b3927;b4139;b4239;b4240;b4357;b3418;b3528;b3749;b3750;b3751;b3752;b3832;b4216;b3748;b4033;b4035
552350,b2239;b2240;b2241;b2242;b2243
552361,b2194;b2201;b2204;b2205;b2206;b2241;b2242;b2243
552623,b0906;b2253;b2254;b4263;b4269
552642,b1598;b1815;b2253;b2254
552892,b0050;b0051;b0052;b0053;b2261;b2262;b2264;b2265
552908,b0733;b0734;b0903;b0904;b1905;b2261;b2262;b2263;b2264;b2265;b2296;b2297
552920,b1243;b1244;b1245;b1246;b1247;b2263;b2264;b2261;b2262;b2265
552922,b1290;b1291;b1293;b1294;b2263;b2264;b2261;b2262;b2265
552977,b2261;b2262;b2263;b2264;b2265
554056,b0273;b0854;b0855;b0856;b0860;b2307;b2308;b2309;b3359;b3869;b3172;b3870;b3957;b3958;b3960;b2818;b3941;b3959;b4254;b3829
557418,b0212;b0604;b2418;b2900;b4402
557434,b0761;b0853;b1034;b2393;b2418;b2900;b3105
557438,b1179;b1461;b2418;b2900
557440,b1185;b1284;b2413;b2418;b2900
557561,b0651;b0880;b1002;b1205;b1376;b1594;b1853;b1976;b2091;b2092;b2093;b2094;b2095;b2096;b2126;b2151;b2426;b2584;b2597;b2805;b2877;b2964;b3001;b3087;b4139;b3403;b3751;b4357;b4188;b4189;b3748;b3707;b3708;b3749;b3750;b3752
558003,b1432;b2439;b2442;b4253
558014,b1730;b2439;b2442;b3121
558226,b1160;b1470;b1549;b2445;b2846;b2849;b2850;b2851;b2856;b2857
558256,b2345;b2445;b2856;b3120;b4047;b4066
559401,b0126;b0166;b0674;b0754;b1538;b1740;b1852;b2479;b2480;b2924;b3553;b3956;b4129;b4207
559421,b1174;b1175;b1176;b2480;b2479
559440,b0178;b0605;b1539;b2007;b2293;b2294;b2415;b2416;b2417;b2479;b2480;b2687;b2551
559478,b2047;b2048;b2049;b2050;b2481;b2487;b2488;b2489
559678,b2481;b2487;b2488;b2489
560503,b2512;b2513;b2515;b2516
560740,b0156;b2524;b2525;b2526;b2527;b2528;b2529;b2530;b2531;b3414
560742,b0124;b0156;b0240;b0311;b0312;b0313;b0458;b1332;b1611;b1777;b1778;b2181;b2518;b2528;b2529;b2530;b2531;b2587;b2582;b2524;b2525;b2526;b2527;b3414;b3820;b3962
560748,b1627;b1628;b1629;b1630;b1631;b1632;b1633;b2524;b2527;b2525;b3015
560788,b0775;b0776;b0778;b2528;b2529;b2530;b2531
560793,b0468;b1018;b2211;b2531;b2528;b2529;b2530
561011,b1901;b2247;b2537;b2800;b2980;b3528;b4216;b2799;b3566
563201,b0023;b1089;b2185;b2606;b2607;b2608;b2609;b3065;b3185;b3186;b3230;b3231;b3294;b3295;b3302;b3308;b3310;b3341;b3637;b3983;b3984;b3985;b3986;b3342;b3340;b3296;b3297;b4200;b3165;b4201;b4202;b4203;b3300
563202,b2607;b2608;b2609;b3295;b3296;b3297;b3298;b3299;b3300;b3302;b3308;b3309;b3310;b3317;b3318;b3319;b3320;b3321;b3340;b3341;b3342;b3983;b3984;b3985;b3986
565155,b0221;b0346;b1297;b1298;b1301;b1422;b1487;b1744;b1745;b1746;b1747;b1748;b2310;b2341;b2342;b2537;b2659;b2660;b2661;b2662;b2663;b3426;b3450;b3451;b3452;b3453;b3603;b3604;b3605;b3845;b3846;b4068;b4069;b4208;b4067
565157,b1197;b1276;b2659;b2660;b2661;b2662;b2663
565160,b1440;b1441;b1443;b1444;b2659;b2660;b2663;b2662;b2661
565164,b1784;b2659;b2660;b2661;b2662;b2663;b3073
565167,b2253;b2254;b2659;b2660;b2661;b2662;b2663
565174,b2659;b2660;b2661;b2662;b2663
565697,b1204;b1727;b2683;b2684
566213,b0553;b0651;b0679;b0757;b1594;b1853;b1976;b2091;b2092;b2093;b2094;b2095;b2096;b2126;b2148;b2149;b2151;b2426;b2702;b2703;b2704;b2705;b2706;b2805;b2964;b3403;b3416;b3417;b3418;b3528;b3599;b3707;b3708;b3748;b3749;b3750;b3751;b3752;b3832;b4032;b4033;b4034;b4035;b4036;b4037;b4216;b4240;b3926;b3927;b4239;b4139;b4357
566218,b1817;b1818;b1819;b2702;b2704;b2705;b2703;b2706
566224,b2247;b2702;b2703;b2704;b2706;b2799;b2800;b2876;b3566;b2875
566229,b2702;b2703;b2704;b2705;b2706
566495,b0972;b0973;b0974;b0975;b0976;b0977;b0978;b0979;b2719;b2720;b2721;b2722;b2723;b2724;b2725;b2713;b2717;b2718
566638,b2713;b2717;b2718;b2719;b2720;b2721;b2722;b2723;b2724;b2725
566661,b0873;b0919;b1223;b1225;b1226;b1227;b1256;b1750;b1753;b2194;b2195;b2196;b2197;b2198;b2199;b2200;b2201;b2202;b2203;b2343;b2713;b2717;b2718;b2719;b2720;b2721;b2722;b2723;b2724;b2725;b2726;b2730;b3156;b3157;b3480;b3945;b4123;b2729;b3478;b3476;b4072;b3367;b3477;b3479;b4073;b3365;b4122;b3366;b2727;b2728;b2992;b2993
567150,b0050;b0051;b0052;b2743;b2744;b2748;b2747
567152,b0082;b0083;b0084;b0085;b0086;b0087;b0088;b0089;b0090;b0091;b0092;b0093;b0094;b0095;b2743;b2744
567161,b2512;b2513;b2515;b2516;b2743;b2744;b2745;b2747;b2748
567172,b2743;b2744;b2745;b2747;b2748
567454,b1001;b2345;b2650;b2758;b2759;b2760;b3121;b4047;b4325
567457,b2755;b2757;b2758;b2759;b2760
567476,b2758;b2759;b2760
569512,b2144;b2250;b2971;b2972;b2973;b2812;b3937;b4180;b3244
569613,b0029;b2231;b2411;b2554;b2819;b2821;b3017;b3232;b3368;b3464;b3590;b3591;b3613;b3699;b3778;b3813;b3863;b3865;b3973;b4052;b4053;b4160;b4161;b4162;b4233;b4388;b4389
571438,b2240;b2241;b2872;b2878;b2881;b2871
571442,b2871;b2872;b2878;b2879;b2880;b2881
571540,b0117;b0318;b0320;b0321;b0323;b0504;b0505;b0617;b2878;b2879;b2880;b2881;b2872
571541,b0547;b0549;b2878;b2880;b2881
571559,b1484;b1485;b2879;b2880;b2881
572037,b2743;b2744;b2745;b2892;b2894;b2895
572039,b0029;b2231;b2411;b2554;b2819;b2821;b2892;b2894;b2895;b3017;b3368;b3464;b3590;b3591;b3613;b3699;b3778;b3813;b3863;b3865;b3973;b4052;b4053;b4160;b4161;b4162;b4233;b4388;b4389
572074,b2512;b2515;b2516;b2894;b2895;b2892
572082,b2892;b2894;b2895
572417,b0311;b0312;b0313;b2903;b2904;b2905
572424,b0775;b0777;b0778;b2904;b2903;b2905
572425,b0801;b1033;b2903;b2904;b2905
572427,b0804;b1018;b1019;b1494;b2905;b2903;b2904
572428,b1037;b1038;b1039;b1040;b2903;b2904;b2905
572434,b1174;b1175;b1176;b2903;b2904;b2905
572456,b2903;b2904;b2905
572548,b2513;b2515;b2516;b2908;b2909;b2910
572553,b2743;b2744;b2745;b2748;b2909;b2910;b2908
572581,b2908;b2909;b2910
573163,b1162;b2923;b2929;b3036
573186,b2418;b2900;b2923;b2929
574186,b0853;b1034;b2393;b2951;b2952;b2953;b3105;b3640;b3641
574190,b1204;b1727;b2951;b2952;b2953;b3640;b3641
574202,b2683;b2684;b2951;b2952;b2953
574238,b2951;b2952;b2953;b3640;b3641
574424,b2517;b2960;b2961;b3183
574429,b2959;b2960;b2961;b2962
574740,b0221;b0346;b1398;b1415;b1744;b1746;b1747;b1748;b2310;b2341;b2537;b2976;b2977;b2978;b3450;b3451;b3453;b3845;b4067;b4068;b4069;b3846
574755,b1440;b1441;b1442;b1443;b1444;b2977;b2976;b2978;b4227
574757,b1467;b1468;b1469;b2976;b2977;b2978
574768,b2253;b2254;b2976;b2978
574771,b2659;b2660;b2661;b2662;b2663;b2976;b2977;b2978
574788,b2976;b2977;b2978
575296,b0453;b1732;b1795;b2464;b2465;b3003;b3519;b3024;b4376
575299,b0186;b0707;b0753;b1454;b2809;b3519;b3003
575306,b0906;b1217;b1259;b1428;b1536;b1537;b1810;b1837;b1953;b1955;b1956;b1957;b1990;b2137;b3003;b3153;b3519;b3522;b3524;b4045;b4263;b4269
575310,b1466;b1467;b1468;b1469;b3003;b3519
578217,b1162;b2923;b2929;b3036;b3085;b4295
578219,b1185;b1284;b2413;b3085;b4295
578241,b2418;b2900;b3085;b4295
578825,b0186;b0707;b1454;b3102;b4149
578830,b0453;b0871;b0897;b1051;b1896;b2464;b2465;b3102;b4149;b4376
578837,b1197;b1276;b3102;b4149
578839,b0906;b1285;b1614;b1668;b1990;b3102;b3153;b3522;b4149;b4269;b4263
578846,b0812;b1739;b3012;b3097;b3099;b4149;b3102
578847,b1783;b1784;b3073;b3102;b3361;b4149
578856,b2659;b2660;b2661;b2662;b2663;b3102;b4149
578962,b1001;b1936;b2345;b2650;b3104;b3120;b3138;b4047
579287,b2702;b2703;b2704;b2705;b2706;b3113;b3115
579938,b2418;b2900;b3131;b4351
579959,b2923;b2929;b3131;b4351
579969,b3085;b3131;b4295;b4351
580061,b2458;b3134;b3135;b3136;b3137;b3139;b3140;b3141;b3435;b3710;b3907;b4092;b4093;b4094;b4095;b4096;b4097;b4098;b4100;b4101;b4102;b4249
580100,b3104;b3136;b3137;b3138;b3139;b3140;b3141;b3435;b3710;b3907;b4249
580765,b0453;b1732;b3153;b3522;b4269;b4376
581127,b2517;b3166;b3167;b3168;b3169;b3183
581144,b3065;b3165;b3166;b3167;b3168;b3261;b4200;b4201;b4202
581145,b3166;b3167;b3168;b3169
581148,b1088;b1090;b1092;b3168;b3169
581756,b2512;b2513;b2515;b2516;b3191;b3193;b3197;b3200;b3201;b3192;b3194;b3195;b3196;b3198;b3199;b3202;b3203;b3204;b3205;b3206
581758,b2743;b2744;b2745;b2747;b2748;b3191;b3196;b3197;b3198;b3199;b3200;b3201;b3202;b3203;b3204;b3205;b3206;b3194
581760,b2908;b2909;b2910;b3191;b3192;b3195;b3196;b3197;b3198;b3199;b3200;b3201;b3202;b3203;b3204;b3205;b3206;b3193
581765,b2959;b2960;b2961;b2962;b3191;b3192;b3199;b3198;b3196;b3197;b3200;b3201;b3204;b3193;b3194;b3195
581777,b3191;b3192;b3193;b3194;b3195;b3196;b3197;b3198;b3199;b3200;b3201;b3202;b3203;b3204;b3205;b3206
581833,b0093;b0094;b0095;b3202;b3203;b3205
581834,b0220;b0710;b0814;b0838;b0870;b0932;b1064;b1066;b1723;b2293;b2294;b2417;b2687;b2741;b2742;b3191;b3192;b3202;b3203;b3204;b3205;b3916;b3428;b3429;b3430;b3431;b3432;b3495
582884,b2250;b2973;b3232;b3865
583533,b1627;b1628;b1629;b1630;b1631;b1632;b1633;b3015;b3249;b3784;b3787;b3790;b3786;b3788;b3789
583534,b1822;b3016;b3249;b3784;b3785;b3786;b3787;b3788
583538,b2350;b2351;b2352;b3249;b3628;b3630;b3631;b3632;b3784;b3785;b3787;b3974
584784,b2744;b2745;b2747;b2748;b3288;b3289
584809,b3192;b3196;b3197;b3198;b3199;b3200;b3201;b3204;b3206;b3289;b3288
585088,b2607;b2609;b3295;b3302;b3308;b3310;b3311;b3312;b3313;b3314;b3983;b3984;b3985;b3986
585090,b3165;b3230;b3231;b3294;b3311;b3312;b4200;b4201;b4202;b4203
585093,b3311;b3312;b3313;b3314;b3315
585170,b3322;b3323;b3324;b3325;b3326;b3327;b3328;b3329;b3330;b3332;b3333;b3334;b3335
585188,b1527;b2345;b3120;b3327;b3332;b3333;b3324;b3325;b3326;b3322
585193,b2758;b2759;b2760;b3330;b3324;b3325;b3326;b3328
585198,b3104;b3138;b3325;b3326;b3327;b3328;b3329;b3330;b3324
585199,b2458;b3135;b3136;b3137;b3139;b3140;b3141;b3326;b3327;b3328;b3329;b3330;b3324;b3325;b3710;b3907;b4249;b3435;b4095;b4096;b4097;b4098;b4100;b4101;b4102
585218,b1730;b2650;b3121;b3324;b3325;b3326;b3328;b3329;b3330;b4325
585513,b1088;b1090;b1092;b1093;b3341;b3342
586271,b0809;b0810;b0811;b3359;b3869;b3870
586457,b3191;b3193;b3194;b3195;b3464;b3368;b3865;b4233
586912,b3078;b3377;b3379;b4183;b4184;b4185;b4296
587151,b0174;b0176;b0177;b0179;b3388;b3385;b3387
587161,b2743;b2744;b2745;b3385;b3386;b3387
587172,b3192;b3194;b3195;b3196;b3197;b3198;b3199;b3200;b3201;b3202;b3204;b3205;b3388;b3386;b3385;b3387
587174,b3288;b3289;b3385;b3386;b3387;b3388
587204,b3385;b3386;b3387;b3388
588628,b0932;b1817;b1818;b1819;b3428;b3429;b3430;b3431;b3432;b3495
588633,b2924;b3428;b3429;b3430;b3431;b3432;b4129
589177,b0370;b1160;b1470;b1549;b2846;b2848;b2849;b2850;b2851;b2857;b3443;b3446
589185,b1877;b2376;b3443;b3446
589198,b2445;b2856;b3443;b3446
589210,b1527;b1730;b1936;b2345;b2650;b3120;b3121;b3443;b3446;b4047;b4066
589363,b0775;b0776;b0777;b0778;b3455;b3456;b3457;b3458;b3460;b3454;b3774
589365,b1037;b1038;b1039;b1040;b3454;b3455;b3456;b3457;b3458;b3460
589378,b2903;b2904;b2905;b3454;b3455;b3456;b3457;b3458;b3460;b3774
589384,b0588;b1018;b1019;b1494;b1495;b3456;b3457;b3455;b3458
589389,b1917;b1918;b3456;b3457
589551,b2145;b2522;b2812;b2958;b2971;b3071;b3244;b3463;b3465;b3466;b3937;b4180;b4324
589560,b3191;b3193;b3194;b3195;b3196;b3198;b3199;b3201;b3463;b3465
589565,b3368;b3463;b3464;b3465;b3466;b3863;b3865;b4160;b4162;b4233
589617,b3463;b3465;b3466
591280,b0972;b0973;b0974;b0975;b0976;b0977;b0978;b0979;b0980;b3513;b3514;b4057;b4377;b0999;b1000;b3491;b4056
591443,b1598;b1815;b1956;b3524;b4263;b4269;b3522
592143,b0324;b2130;b3540;b3541;b3542;b3543
592146,b0598;b2537;b3528;b3540;b3541;b3542;b3543;b4067;b4068;b4208;b3604;b4069
592147,b0651;b1853;b1976;b2091;b2092;b2093;b2094;b2095;b2096;b2126;b2805;b2964;b3403;b3418;b3540;b3541;b3542;b3543;b3832;b4037
592152,b1243;b1244;b1245;b1246;b1247;b3540;b3541;b3542;b3543
592164,b3454;b3455;b3456;b3457;b3458;b3540;b3541;b3542;b3543
592173,b3540;b3541;b3542;b3543
593624,b3078;b3377;b3379;b3575;b3881;b4184;b4185;b4296
593697,b3078;b3377;b3379;b3577;b3579;b3580;b3581;b3582;b3878;b3949;b3950;b3953;b4080;b4081;b4082;b4083;b4084;b4085;b4086;b4183;b4184;b4185;b4186;b4296
593712,b3575;b3577;b3579;b3580;b3581;b3582;b3881;b4082;b4084;b4086;b4194;b4195;b4193;b4196
593778,b3577;b3579;b3580;b3581;b3582;b3878;b3949;b3950;b3953;b4080;b4081;b4082;b4083;b4084;b4085;b4086;b4193;b4194;b4195;b4196;b4197;b4198;b4186
595720,b1344;b2171;b3636;b3637
596315,b2819;b2821;b3017;b3232;b3613;b3650;b3651;b3652;b4052;b3699;b3813;b3863;b3865;b3973;b4053;b4233
596323,b3249;b3650;b3651;b3652;b3784;b3785;b3786;b3787;b3788;b3790;b3789;b3791;b3792;b3793;b3794
596324,b3387;b3388;b3650;b3651;b3652
596354,b3650;b3651;b3652
597237,b0598;b3670;b3671;b3926;b3927
597239,b0652;b0653;b0654;b0854;b0855;b0856;b2307;b2308;b2309;b3670;b3671
597240,b0655;b0720;b0809;b0810;b0811;b1015;b1136;b1189;b1190;b1612;b1777;b1778;b2310;b2463;b2537;b3236;b3426;b3603;b3604;b3605;b3670;b3671;b4067;b4068;b4069;b4208;b3962
597247,b1817;b1818;b1819;b3670;b3671
597253,b0679;b0757;b0758;b2964;b3416;b3417;b3418;b3599;b3671;b3670;b3749;b3752;b3832;b4037
597257,b3454;b3455;b3456;b3457;b3458;b3460;b3670;b3671
597259,b3540;b3541;b3542;b3543;b3670;b3671
597928,b3078;b3377;b3379;b3683;b3877;b3879;b4105;b4104;b4185;b4296;b4183;b4184
597943,b3575;b3683;b3877;b3879;b3881;b4104;b4106
597945,b3577;b3579;b3580;b3581;b3582;b3683;b3877;b3878;b3879;b4082;b4084;b4086;b4105;b4104;b4106;b3950;b4186;b4193;b4194;b4195
599787,b3536;b3538;b3724;b3725;b3727;b3728
599798,b0112;b2600;b2601;b3725;b3727;b3728;b3724
599831,b3631;b3632;b3725;b3727;b3728
599834,b3724;b3725;b3727;b3728
600012,b0114;b0115;b0116;b0428;b0429;b0430;b0431;b0432;b1136;b3731;b3732;b3733;b3734;b3735;b3736;b3737
600025,b0406;b0407;b0408;b3734;b3736;b3738;b3732;b3733;b3735;b3737
600028,b3731;b3732;b3733;b3734;b3735;b3736;b3737;b3738
600038,b3340;b3341;b3342;b3735;b3736;b3738
601632,b3166;b3168;b3169;b3988;b3783
601661,b3249;b3784;b3785;b3786;b3787;b3788;b3789;b3790;b3791;b3792;b3793;b3794
601664,b3385;b3386;b3387;b3388;b3784;b3786;b3788;b3789;b3790;b3791;b3792;b3787
601757,b2903;b2904;b2905;b3791;b3792
601820,b3724;b3725;b3727;b3728;b3793;b3794
602012,b0440;b1174;b1175;b1176;b3802;b3803;b4000
602041,b3200;b3202;b3203;b3205;b3802;b3803
602042,b0710;b0870;b0932;b1066;b2742;b3428;b3429;b3430;b3431;b3432;b3495;b3803;b3802
602384,b0025;b0026;b0027;b0082;b0085;b0090;b3809;b3811
602396,b2743;b2744;b2745;b2747;b3809;b3810;b3811
602398,b0029;b2411;b2554;b2819;b2821;b3017;b3232;b3368;b3464;b3590;b3591;b3613;b3699;b3778;b3809;b3810;b3811;b3813;b3863;b3865;b3973;b4052;b4053;b4160;b4161;b4162;b4233;b4388;b4389
602400,b2892;b2894;b2895;b3809;b3810;b3811
602425,b3770;b3771;b3772;b3809;b3811
602429,b3802;b3803;b3809;b3810;b3811
602441,b3809;b3810;b3811
603028,b3784;b3790;b3793;b3794;b3822;b3935
603468,b0438;b0473;b0659;b0660;b3399;b3401;b3498;b3931;b3932;b4143;b3831;b4384
603473,b0757;b0758;b0759;b3831;b4384;b4381;b4383;b4382
603479,b1103;b1104;b1105;b3831;b4381;b4382;b4383;b4384
603480,b1241;b1677;b2215;b2417;b3831;b4384
603481,b0146;b0880;b1002;b1205;b1333;b1406;b1647;b1725;b2521;b2584;b2597;b2877;b3049;b3087;b3285;b4381;b4382;b4383;b3831;b4384
603484,b1817;b1818;b1819;b3831;b4381;b4382;b4383;b4384
603513,b3416;b3417;b3831;b4381;b4382;b4383
603549,b2512;b2513;b2515;b2516;b3833;b3834;b3835;b3836;b3838
603558,b3191;b3192;b3194;b3195;b3196;b3197;b3198;b3199;b3200;b3201;b3202;b3204;b3205;b3836;b3838;b3833;b3834;b3835
603570,b3249;b3784;b3785;b3787;b3790;b3791;b3794;b3839;b3835;b3833;b3834;b3838
603571,b3802;b3803;b3833;b3834;b3835;b3836
603574,b3809;b3810;b3811;b3833;b3834;b3835;b3836;b3838;b3839
603590,b3833;b3834;b3835;b3836;b3838;b3839
603597,b3650;b3651;b3652;b3835;b3838;b3839
603632,b3232;b3833;b3834;b3835;b3838;b3839;b4161;b3865;b4160;b4162
605226,b3683;b3877;b3879;b4104;b4105;b4106
605250,b2871;b2872;b3878;b3950;b4080;b4085;b4186;b3953
605949,b2261;b2264;b3891;b3892;b3893;b3894;b3895
605980,b0118;b0428;b0655;b0720;b0721;b0722;b0724;b0811;b1015;b1189;b1190;b1422;b1611;b1612;b1777;b1778;b2463;b2537;b3236;b3426;b3604;b3892;b3893;b3894;b3891;b3895;b3962;b4208
605989,b2276;b2287;b2288;b3894;b3892;b3893
606003,b3891;b3892;b3893;b3894;b3895
606466,b3580;b3581;b3878;b3903;b3904;b3949;b3950;b3953;b4323;b4080;b4081;b4082;b4083;b4085;b4186
606502,b3903;b3904;b4323
606944,b1304;b1305;b1306;b1307;b1308;b1563;b1743;b1846;b2340;b3022;b3913;b3914
606954,b1594;b1853;b1976;b3707;b3913;b3914
606990,b1321;b1380;b3686;b3913;b3914
607942,b3232;b3368;b3865;b3938;b3940;b4160;b4161;b4162;b4233;b4388;b4389
609069,b2517;b3183;b3981;b3982
609073,b2609;b3981;b3982;b3983;b3984;b3985;b3986
609077,b0023;b3065;b3165;b3175;b3185;b3261;b3294;b3637;b3981;b3982;b4147;b4200;b4201;b4202;b4203
609082,b3166;b3167;b3168;b3169;b3981;b3982
609273,b0774;b0775;b0776;b0777;b0778;b3990;b3991;b3992;b3993;b3994
609276,b0428;b0655;b1015;b3236;b3962;b3990;b3994;b3992;b3991;b3993
609289,b2903;b2904;b2905;b3990;b3991;b3992;b3993;b3994
609292,b3454;b3455;b3456;b3457;b3458;b3460;b3990;b3991;b3992;b3993;b3994
609296,b3540;b3541;b3542;b3543;b3990;b3991;b3992;b3993;b3994
609297,b3670;b3671;b3990;b3991;b3992;b3993;b3994
609317,b3990;b3991;b3992;b3993;b3994
609319,b0854;b0855;b0857;b3992;b3994
610056,b0598;b3926;b3927;b4014;b4015;b4016
610057,b0118;b0240;b0428;b0655;b0720;b0721;b0722;b0723;b0724;b0726;b0727;b0728;b0729;b0809;b0810;b0811;b1015;b1136;b1189;b1190;b1415;b1422;b1611;b1612;b1777;b1778;b2310;b2463;b2537;b2587;b3236;b3426;b3603;b3604;b3605;b3962;b4014;b4015;b4016;b4067;b4068;b4069;b4208
610070,b1976;b2091;b2092;b2093;b2094;b2095;b2096;b3403;b3418;b3748;b3750;b4016;b4015;b4014;b4037
610077,b2976;b2977;b2978;b4014;b4015;b4016
610081,b3540;b3541;b3542;b3543;b4014;b4015;b4016
610085,b3670;b3671;b4014;b4015;b4016
610089,b3990;b3991;b3992;b3993;b3994;b4014;b4015;b4016
610091,b0653;b0654;b4015;b4016
610106,b4014;b4015;b4016
611773,b2743;b2744;b2745;b2747;b4052;b4389;b4053;b4388
611935,b1598;b1815;b4057;b4187;b4167
612589,b3575;b3881;b4074;b4075
612612,b3577;b3580;b3581;b3582;b4074;b4075;b4082
613265,b1045;b1195;b1327;b2302;b2347;b2602;b2638;b4092;b4093
613313,b0271;b0348;b0349;b0350;b0352;b4094;b4095;b4096;b4097;b4098;b4100;b4101;b4102
613315,b2049;b2050;b4094;b4096;b4097;b4098
613480,b0035;b0036;b4105;b4106;b4104
614515,b0329;b0435;b0453;b0812;b0897;b1732;b1739;b1795;b2097;b2266;b2464;b2465;b3012;b3024;b3097;b3098;b3099;b3336;b3555;b4126;b4127;b4376
614517,b0906;b1285;b1614;b1668;b1678;b1990;b3153;b3522;b4126;b4127;b4269;b4263
