Corem,Genes
513765,b0223;b0324;b0689;b2043;b2045;b2130;b2144;b2145;b2522;b2812;b2958;b2971;b2972;b3071;b3244;b3698;b3937;b4180;b4324
513877,b0139;b0254;b0338;b0339;b0341;b0940
513894,b0338;b0339;b0341
513985,b0271;b0348;b0349;b0350;b0351;b0352
514058,b0298;b0360;b0361;b0372;b0373;b0540;b0541;b1026;b1402;b1403;b1578;b1996;b1997;b2089;b4272;b2860;b2861;b3044;b3045;b2088
514060,b0360;b0361;b1402;b1403;b1578;b1996;b1997;b2860;b2861;b3044;b3045;b4272
514169,b0135;b0136;b0137;b0138;b0141;b0719;b0370;b1160;b1161;b1549;b2846;b1470;b2848;b2849;b2850;b2851;b2857
514552,b0238;b0405;b0423;b0636;b0835;b0914;b1124;b1125;b1126;b1203;b1281;b1282;b1344;b2014;b1807;b4049;b3016;b1822
514557,b0174;b0176;b0177;b0406;b0407;b0408
514563,b0406;b0407;b0408
514802,b0178;b0220;b0237;b0426;b0440;b0605;b0710;b0801;b0814;b0838;b0870;b0932;b0957;b1033;b1064;b1066;b1174;b1175;b1176;b1237;b1241;b1539;b1676;b1677;b1723;b1779;b2007;b2215;b2293;b2294;b2415;b2416;b2417;b2551;b2687;b2741;b2742;b2779;b2925;b2926;b3357;b3428;b3429;b3430;b3431;b3432;b3495;b3916;b3919;b4000;b4025
514855,b0146;b0435;b0643;b0812;b1003;b1004;b1480;b1725;b1739;b3012;b3336;b1205;b1333;b2597;b3049;b3099
514857,b0023;b0436;b0884;b1089;b2185;b2606;b3065;b3165;b3175;b3185;b3186;b3230;b3231;b3261;b3294;b3636;b3637;b4147;b4200;b4201;b4202;b4203
514869,b0178;b0237;b0426;b0437;b0438;b0439;b0440;b0605;b0814;b0957;b1174;b1175;b1176;b1237;b1676;b1677;b1779;b2007;b2215;b2415;b2416;b2417;b2687;b2779;b2925;b2926;b3178;b3357;b3919;b4000;b4172;b1241;b2293;b2294;b2551;b3916;b4025;b4171;b2614;b3498
514971,b0139;b0254;b0447;b0448;b0940
514975,b0338;b0339;b0341;b0447;b0448
515035,b0186;b0329;b0435;b0453;b0707;b0753;b0897;b1003;b1732;b1739;b1795;b1836;b1896;b2266;b2672;b2809;b2464;b4376;b2465;b3024;b3099;b3336;b3555;b4045;b4107
515458,b0485;b0486;b0999;b1000;b1492;b1493;b1661;b3491;b3506;b3507;b3508;b3509;b3510;b3511;b3512;b3513;b3514;b3515;b3516;b3517;b3922;b3923;b4056;b4057;b4167;b4187;b4377
515787,b0235;b0282;b0507;b0547;b0548;b0549;b0824;b1155;b1156;b1525
515791,b0117;b0317;b0318;b0319;b0320;b0321;b0323;b0358;b0504;b0505;b0507;b0547;b0548;b0549;b0614;b0617;b0823;b0824;b1155;b1156;b1525;b1526
515803,b0235;b0282;b0508;b1157
515808,b0117;b0317;b0318;b0319;b0320;b0321;b0323;b0358;b0504;b0505;b0508;b0614;b0615;b0617;b0823;b1157;b1526
515817,b0507;b0508;b0547;b0548;b0549;b0824;b1155;b1156;b1157;b1525
516031,b0032;b0033;b0336;b0337;b0522;b0523;b0945;b1062;b1849;b2312;b2313;b2497;b2498;b2499;b2500;b2507;b2508;b2557;b4006;b4005;b1131;b2476;b4243;b4244;b4246;b4245
516034,b0405;b0423;b0522;b0523;b0636;b0835;b0914;b1124;b1125;b1126;b1131;b1807;b1822;b1849;b2014;b2312;b2313;b2476;b2499;b2500;b2507;b2508;b2557;b3016;b4005;b4049;b4006
516321,b0507;b0547;b0548;b0549;b0824;b1155;b1156;b1525
516380,b0259;b0552;b0656;b1331;b1370;b1994;b2030;b2192;b2982;b3218;b3505
516693,b0570;b0571;b0572;b0573;b0574;b0575;b0576
516893,b0136;b0137;b0138;b0603;b0702;b0719
516902,b0370;b0603;b0702;b1160;b1161;b1470;b1549;b2846;b2848;b2849;b2850;b2851;b2857
516918,b0212;b0604;b4402
517518,b0117;b0504;b0647;b0650
517532,b0338;b0339;b0341;b0647;b0650
517577,b0139;b0254;b0649;b0940;b1386;b1409
517583,b0338;b0339;b0341;b0649;b1386;b1409
517588,b0447;b0448;b0649;b1386
517593,b0507;b0547;b0548;b0549;b0649;b1155;b1156;b1386;b1409
517604,b0647;b0649;b0650;b1386;b1409
517624,b0652;b0653;b0654;b0854;b0855;b0856;b0857;b2307;b2308;b2309
517633,b0312;b0428;b0652;b0653;b0654;b0655;b0809;b0810;b0811;b0854;b0855;b0856;b0857;b1015;b1136;b1422;b1486;b1488;b1611;b1777;b1778;b2308;b2309;b1299;b1483;b1484;b1485;b1487;b2310;b3604;b3605;b3962;b1296;b1301;b1020;b1300;b1332;b1612;b2463;b2582;b3603;b3820;b2307;b1189;b1297;b1298;b1748;b2181;b2537;b2587;b2844;b2980;b3236;b3451;b3846;b4069;b4208
517690,b0238;b0661;b1281;b1282;b1344;b2171;b2566
518257,b0186;b0707;b0753;b1454;b2809
518324,b0437;b0932;b1066;b2741;b2742;b3429;b3430;b3431;b3495;b0710;b0838;b0870;b4172;b4171
518648,b0259;b0552;b0656;b0733;b0734;b1331;b1370;b1994;b2030;b2192;b2982;b3218;b3505
518883,b0655;b0757;b0758;b0759;b0809;b0810;b0811;b1778;b2463
518915,b0212;b0604;b0761;b0853;b1034;b2393;b3105
519167,b0774;b0775;b0776;b0777;b0778
519169,b0311;b0312;b0313;b0777;b0778
519242,b0658;b0660;b0781;b0782;b0783;b0785
519253,b0781;b0782;b0783;b0785
519296,b0235;b0282;b0787;b1343
519300,b0117;b0318;b0320;b0321;b0504;b0505;b1343;b0787;b1526
519310,b0507;b0547;b0548;b0549;b0787;b0824;b1155;b1156;b1343;b1525
519311,b0508;b0787;b1157;b1343
519441,b0792;b0793;b0794
519588,b0220;b0710;b0800;b0801;b0838;b0866;b0870;b0925;b0932;b0957;b1033;b1064;b1066;b1241;b1723;b2293;b2294;b2741;b3495;b3916;b1677;b2742
519598,b0002;b0071;b0072;b0073;b0074;b0077;b0078;b0126;b0166;b0220;b0674;b0710;b0754;b0801;b0838;b0870;b0932;b1033;b1066;b1723;b1740;b0928;b1324;b1538;b1852;b2153;b2913;b2924;b3212;b3433;b3553;b3770;b3771;b3772;b3956;b3495
519609,b0781;b0782;b0783;b0785;b0801;b1066;b0838;b0870;b1723
519630,b0186;b0707;b0803;b1679;b1680;b1681;b1682;b1683;b1684;b2809;b3291;b1454
520100,b0071;b0829;b0830;b0831;b1261;b1262;b1263;b1264;b1260
520103,b0112;b0829;b0830;b0831;b0832;b1704;b2600;b2601
520115,b0828;b0829;b0830;b0831;b0832;b1287;b1729;b1920;b2012;b2013;b2414;b2421;b2422;b2423;b2424;b2425;b2750;b2751;b2752;b2762;b2763;b2764;b3917
520120,b0829;b0830;b0831;b0832
520496,b0761;b0853;b1034;b2393;b3105
520683,b0800;b0866;b0925
520908,b0146;b0643;b0880;b1002;b1205;b1333;b1376;b1406;b1647;b1725;b2521;b2584;b2597;b2877;b3001;b3049;b3087;b3285;b4188;b4189
520912,b0733;b0734;b0880;b0904;b0919;b1127;b1333;b1376;b0903;b3746
521148,b0034;b0733;b0734;b0873;b0894;b0895;b0896;b0903;b0904;b0919;b1127;b1223;b1224;b1225;b1226;b1227;b1256;b1541;b1587;b1588;b1589;b1590;b1593;b1750;b1751;b1752;b1753;b1754;b1757;b1854;b1905;b1906;b2194;b2195;b2196;b2197;b2198;b2199;b2200;b2201;b2202;b2203;b2204;b2205;b2206;b2207;b2208;b2296;b2297;b2343;b2579;b2726;b2727;b2728;b2729;b2730;b2957;b2990;b2991;b2992;b2993;b2994;b2995;b2996;b2997;b3156;b3157;b3158;b3159;b3365;b3366;b3367;b3476;b3477;b3478;b3479;b3480;b3746;b3942;b3945;b4021;b4070;b4071;b4072;b4073;b4074;b4075;b4122;b4123;b4151;b4152;b4153;b4154;b4238;b4329;b4330;b4335;b4380
521343,b0238;b0905;b0948;b1203;b1281;b1282;b1344;b1435;b1876;b2171
521345,b0405;b0423;b0835;b0905;b0914;b0948;b1124;b1125;b1126;b1131;b1435;b1876;b2014;b2500
521351,b0661;b0905;b1876;b2566
521664,b0025;b0026;b0027;b0028;b0083;b0084;b0085;b0086;b0087;b0088;b0089;b0090;b0091;b0092;b0093;b0094;b0922;b0923;b0924;b1116;b1117;b1118
522020,b0603;b0702;b0938;b0942
522148,b0238;b0945;b1203;b1281;b1282;b1344;b2171;b2497;b2498;b4243
522192,b0905;b0948;b1435;b1876
522425,b0426;b0733;b0734;b0903;b0904;b1237;b1241;b1676;b1677;b1905;b2296;b2297;b2215;b0957;b1064;b1539;b1723;b1779;b2293;b2294;b2415;b2416;b2417;b2779;b2925;b2926;b3916;b3919
522616,b0146;b0643;b0880;b0965;b1205;b1283;b1333;b1647;b1725;b1810;b3448;b3494;b3049;b1376;b2521;b2597;b3285;b1955;b2135
522655,b0186;b0707;b0753;b0965;b1045;b1195;b1217;b1235;b1454;b1478;b2135;b2302;b2347;b2602;b2638;b2809;b0384;b1188;b1327;b1837;b3239;b3362;b0968;b1537;b1810;b3000;b3494;b1536
522658,b0806;b0968;b1045;b1195;b1217;b1235;b1327;b1399;b1431;b1536;b1537;b1585;b1837;b2015;b1259;b1283;b1428;b2135;b2302;b2347;b2602;b2638;b3000;b3239
522662,b0329;b0384;b0435;b0453;b0812;b0871;b0897;b0906;b0965;b0968;b1003;b1004;b1045;b1051;b1188;b1195;b1217;b1235;b1259;b1283;b1285;b1327;b1399;b1428;b1431;b1478;b1480;b1482;b1536;b1537;b1585;b1586;b1614;b1668;b1678;b1724;b1732;b1739;b1795;b1810;b1836;b1837;b1896;b1897;b1953;b1955;b1956;b1957;b1967;b1990;b2080;b2097;b2135;b2137;b2266;b2302;b2347;b2464;b2465;b2602;b2638;b2665;b2672;b3000;b3012;b3024;b3097;b3098;b3099;b3153;b3239;b3336;b3362;b3448;b3494;b3522;b3524;b3555;b4045;b4107;b4263;b4376;b4269
522737,b0733;b0734;b0903;b0904;b0973;b0975;b0977;b0978;b0979;b0972;b0974;b0976;b0980;b1905;b2296;b2297
522739,b0873;b0972;b0973;b0974;b0975;b0976;b0977;b0978;b0979;b0980;b1223;b1224;b1225;b1226;b1227;b3476;b3477;b3478;b3479;b3480
522740,b0034;b0894;b0895;b0896;b0972;b0973;b0974;b0975;b0976;b0977;b0978;b0979;b0980;b1590;b1854;b2726;b2727;b2729;b2730;b2992;b2993;b2994;b2995;b2996;b2997;b4021;b4238;b3746;b1589;b1750;b1752;b1906;b2343;b2990;b2991;b3945;b4123;b4329;b4330;b4335;b1127
522744,b0972;b0973;b0974;b0975;b0976;b0977;b0978;b0979;b0980
522969,b0989;b0990;b1557
523215,b0800;b0866;b0925;b0999;b1000;b3922;b3923;b4377
523219,b0220;b0710;b0870;b0999;b1000;b1064;b1661;b1723;b2741;b2742;b3428;b3429;b3430;b3431;b3432;b3495;b3506;b3508;b3513;b3514;b3922;b3923;b4056;b4057;b4167;b4187;b4377;b3507
