"","x"
"1","b2779"
"2","b2927"
"3","b2925"
"4","b2169"
"5","b2168"
"6","b1779"
"7","b2388"
"8","b1531"
"9","b1532"
"10","b1530"
"11","b3365"
"12","b3367"
"13","b3366"
"14","b3916"
"15","b2926"
"16","b3956"
"17","b3919"
"18","b0315"
"19","b1780"
