ackA
acnB
adhE
adhP
eutD
eutE
fdhF
frdA
frdB
frdC
frdD
fumA
fumB
fumC
fumD
fumE
gltA
hycB
hycC
hycD
hycE
hycF
hycG
icd
ldhA
maeA
mdh
pflB
ppc
pta
pykA
pykF
tdcE
