,Cell_type,Time,Spot,Spot_loc,Growth,Growth_normalized
WT_0_834,WT,834.0,WT_0,22_19_29,119756.0,0.0
WT_1_834,WT,834.0,WT_1,51_267_17,47983.0,12167.0
WT_2_834,WT,834.0,WT_2,85_257_15,37549.0,9369.0
WT_3_834,WT,834.0,WT_3,170_688_13,29463.0,7870.0
WT_4_834,WT,834.0,WT_4,181_593_16,39095.0,11197.0
WT_5_834,WT,834.0,WT_5,214_199_15,34459.0,8976.0
WT_6_834,WT,834.0,WT_6,425_894_15,38425.0,10275.0
WT_7_834,WT,834.0,WT_7,523_677_14,27337.0,8023.0
WT_8_834,WT,834.0,WT_8,529_746_13,26655.0,6820.0
WT_9_834,WT,834.0,WT_9,532_717_13,24859.0,7554.0
WT_10_834,WT,834.0,WT_10,552_899_14,35152.0,9157.0
WT_11_834,WT,834.0,WT_11,570_1002_16,44715.0,10653.0
WT_12_834,WT,834.0,WT_12,570_1056_14,32148.0,8354.0
WT_13_834,WT,834.0,WT_13,605_1059_12,22800.0,5601.0
WT_14_834,WT,834.0,WT_14,618_726_24,81638.0,19248.0
WT_15_834,WT,834.0,WT_15,617_823_20,59057.0,11343.0
WT_16_834,WT,834.0,WT_16,622_888_14,28713.0,6518.0
WT_17_834,WT,834.0,WT_17,628_1092_18,39186.0,10570.0
WT_18_834,WT,834.0,WT_18,662_904_11,21490.0,5023.0
WT_19_834,WT,834.0,WT_19,672_783_11,21099.0,4849.0
WT_20_834,WT,834.0,WT_20,692_931_13,27416.0,6835.0
WT_21_834,WT,834.0,WT_21,694_958_11,24783.0,6155.0
WT_22_834,WT,834.0,WT_22,716_1036_16,39838.0,10485.0
WT_23_834,WT,834.0,WT_23,765_1032_9,14833.0,3866.0
WT_24_834,WT,834.0,WT_24,778_1049_11,22100.0,5777.0
WT_25_834,WT,834.0,WT_25,840_822_14,37265.0,9757.0
WT_26_834,WT,834.0,WT_26,843_785_13,28014.0,7451.0
WT_27_834,WT,834.0,WT_27,857_651_14,34805.0,9453.0
WT_28_834,WT,834.0,WT_28,881_574_14,34395.0,9060.0
WT_29_834,WT,834.0,WT_29,902_885_23,71518.0,16216.0
WT_30_834,WT,834.0,WT_30,942_172_16,42912.0,11508.0
WT_31_834,WT,834.0,WT_31,958_421_15,40063.0,10963.0
WT_32_834,WT,834.0,WT_32,1008_926_14,33945.0,10012.0
WT_33_834,WT,834.0,WT_33,1021_1091_11,18860.0,494.0
WT_0_2871,WT,2871.0,WT_0,22_19_29,123056.0,2331.0
WT_1_2871,WT,2871.0,WT_1,51_267_17,53360.0,17544.0
WT_2_2871,WT,2871.0,WT_2,85_257_15,41955.0,13775.0
WT_3_2871,WT,2871.0,WT_3,170_688_13,33176.0,11583.0
WT_4_2871,WT,2871.0,WT_4,181_593_16,43346.0,15448.0
WT_5_2871,WT,2871.0,WT_5,214_199_15,38843.0,13360.0
WT_6_2871,WT,2871.0,WT_6,425_894_15,43175.0,15025.0
WT_7_2871,WT,2871.0,WT_7,523_677_14,29592.0,10278.0
WT_8_2871,WT,2871.0,WT_8,529_746_13,29986.0,10151.0
WT_9_2871,WT,2871.0,WT_9,532_717_13,26684.0,9379.0
WT_10_2871,WT,2871.0,WT_10,552_899_14,39237.0,13242.0
WT_11_2871,WT,2871.0,WT_11,570_1002_16,48430.0,14368.0
WT_12_2871,WT,2871.0,WT_12,570_1056_14,34315.0,10521.0
WT_13_2871,WT,2871.0,WT_13,605_1059_12,24929.0,7730.0
WT_14_2871,WT,2871.0,WT_14,618_726_24,94960.0,32570.0
WT_15_2871,WT,2871.0,WT_15,617_823_20,66878.0,19164.0
WT_16_2871,WT,2871.0,WT_16,622_888_14,31334.0,9139.0
WT_17_2871,WT,2871.0,WT_17,628_1092_18,40541.0,11925.0
WT_18_2871,WT,2871.0,WT_18,662_904_11,23484.0,7017.0
WT_19_2871,WT,2871.0,WT_19,672_783_11,24272.0,8022.0
WT_20_2871,WT,2871.0,WT_20,692_931_13,28534.0,7953.0
WT_21_2871,WT,2871.0,WT_21,694_958_11,26704.0,8076.0
WT_22_2871,WT,2871.0,WT_22,716_1036_16,42499.0,13146.0
WT_23_2871,WT,2871.0,WT_23,765_1032_9,15536.0,4569.0
WT_24_2871,WT,2871.0,WT_24,778_1049_11,24343.0,8020.0
WT_25_2871,WT,2871.0,WT_25,840_822_14,41906.0,14398.0
WT_26_2871,WT,2871.0,WT_26,843_785_13,30618.0,10055.0
WT_27_2871,WT,2871.0,WT_27,857_651_14,39077.0,13725.0
WT_28_2871,WT,2871.0,WT_28,881_574_14,39923.0,14588.0
WT_29_2871,WT,2871.0,WT_29,902_885_23,83031.0,27729.0
WT_30_2871,WT,2871.0,WT_30,942_172_16,47851.0,16447.0
WT_31_2871,WT,2871.0,WT_31,958_421_15,44738.0,15638.0
WT_32_2871,WT,2871.0,WT_32,1008_926_14,37241.0,13308.0
WT_33_2871,WT,2871.0,WT_33,1021_1091_11,17123.0,0.0
WT_0_2130,WT,2130.0,WT_0,22_19_29,119593.0,0.0
WT_1_2130,WT,2130.0,WT_1,51_267_17,53165.0,17349.0
WT_2_2130,WT,2130.0,WT_2,85_257_15,41389.0,13209.0
WT_3_2130,WT,2130.0,WT_3,170_688_13,31992.0,10399.0
WT_4_2130,WT,2130.0,WT_4,181_593_16,42908.0,15010.0
WT_5_2130,WT,2130.0,WT_5,214_199_15,37750.0,12267.0
WT_6_2130,WT,2130.0,WT_6,425_894_15,43052.0,14902.0
WT_7_2130,WT,2130.0,WT_7,523_677_14,28793.0,9479.0
WT_8_2130,WT,2130.0,WT_8,529_746_13,30184.0,10349.0
WT_9_2130,WT,2130.0,WT_9,532_717_13,26067.0,8762.0
WT_10_2130,WT,2130.0,WT_10,552_899_14,39712.0,13717.0
WT_11_2130,WT,2130.0,WT_11,570_1002_16,48066.0,14004.0
WT_12_2130,WT,2130.0,WT_12,570_1056_14,34700.0,10906.0
WT_13_2130,WT,2130.0,WT_13,605_1059_12,25315.0,8116.0
WT_14_2130,WT,2130.0,WT_14,618_726_24,94958.0,32568.0
WT_15_2130,WT,2130.0,WT_15,617_823_20,67604.0,19890.0
WT_16_2130,WT,2130.0,WT_16,622_888_14,31620.0,9425.0
WT_17_2130,WT,2130.0,WT_17,628_1092_18,39539.0,10923.0
WT_18_2130,WT,2130.0,WT_18,662_904_11,23669.0,7202.0
WT_19_2130,WT,2130.0,WT_19,672_783_11,24531.0,8281.0
WT_20_2130,WT,2130.0,WT_20,692_931_13,28051.0,7470.0
WT_21_2130,WT,2130.0,WT_21,694_958_11,26600.0,7972.0
WT_22_2130,WT,2130.0,WT_22,716_1036_16,43179.0,13826.0
WT_23_2130,WT,2130.0,WT_23,765_1032_9,15303.0,4336.0
WT_24_2130,WT,2130.0,WT_24,778_1049_11,24417.0,8094.0
WT_25_2130,WT,2130.0,WT_25,840_822_14,42127.0,14619.0
WT_26_2130,WT,2130.0,WT_26,843_785_13,30322.0,9759.0
WT_27_2130,WT,2130.0,WT_27,857_651_14,39163.0,13811.0
WT_28_2130,WT,2130.0,WT_28,881_574_14,40171.0,14836.0
WT_29_2130,WT,2130.0,WT_29,902_885_23,83457.0,28155.0
WT_30_2130,WT,2130.0,WT_30,942_172_16,47719.0,16315.0
WT_31_2130,WT,2130.0,WT_31,958_421_15,44349.0,15249.0
WT_32_2130,WT,2130.0,WT_32,1008_926_14,37582.0,13649.0
WT_33_2130,WT,2130.0,WT_33,1021_1091_11,17349.0,0.0
WT_0_2285,WT,2285.0,WT_0,22_19_29,120633.0,0.0
WT_1_2285,WT,2285.0,WT_1,51_267_17,53337.0,17521.0
WT_2_2285,WT,2285.0,WT_2,85_257_15,41629.0,13449.0
WT_3_2285,WT,2285.0,WT_3,170_688_13,32373.0,10780.0
WT_4_2285,WT,2285.0,WT_4,181_593_16,43016.0,15118.0
WT_5_2285,WT,2285.0,WT_5,214_199_15,38116.0,12633.0
WT_6_2285,WT,2285.0,WT_6,425_894_15,43151.0,15001.0
WT_7_2285,WT,2285.0,WT_7,523_677_14,28943.0,9629.0
WT_8_2285,WT,2285.0,WT_8,529_746_13,30045.0,10210.0
WT_9_2285,WT,2285.0,WT_9,532_717_13,26216.0,8911.0
WT_10_2285,WT,2285.0,WT_10,552_899_14,39623.0,13628.0
WT_11_2285,WT,2285.0,WT_11,570_1002_16,48118.0,14056.0
WT_12_2285,WT,2285.0,WT_12,570_1056_14,34616.0,10822.0
WT_13_2285,WT,2285.0,WT_13,605_1059_12,25228.0,8029.0
WT_14_2285,WT,2285.0,WT_14,618_726_24,94977.0,32587.0
WT_15_2285,WT,2285.0,WT_15,617_823_20,67425.0,19711.0
WT_16_2285,WT,2285.0,WT_16,622_888_14,31540.0,9345.0
WT_17_2285,WT,2285.0,WT_17,628_1092_18,39956.0,11340.0
WT_18_2285,WT,2285.0,WT_18,662_904_11,23622.0,7155.0
WT_19_2285,WT,2285.0,WT_19,672_783_11,24369.0,8119.0
WT_20_2285,WT,2285.0,WT_20,692_931_13,28170.0,7589.0
WT_21_2285,WT,2285.0,WT_21,694_958_11,26673.0,8045.0
WT_22_2285,WT,2285.0,WT_22,716_1036_16,43051.0,13698.0
WT_23_2285,WT,2285.0,WT_23,765_1032_9,15409.0,4442.0
WT_24_2285,WT,2285.0,WT_24,778_1049_11,24412.0,8089.0
WT_25_2285,WT,2285.0,WT_25,840_822_14,42131.0,14623.0
WT_26_2285,WT,2285.0,WT_26,843_785_13,30374.0,9811.0
WT_27_2285,WT,2285.0,WT_27,857_651_14,39052.0,13700.0
WT_28_2285,WT,2285.0,WT_28,881_574_14,39979.0,14644.0
WT_29_2285,WT,2285.0,WT_29,902_885_23,83465.0,28163.0
WT_30_2285,WT,2285.0,WT_30,942_172_16,47739.0,16335.0
WT_31_2285,WT,2285.0,WT_31,958_421_15,44390.0,15290.0
WT_32_2285,WT,2285.0,WT_32,1008_926_14,37489.0,13556.0
WT_33_2285,WT,2285.0,WT_33,1021_1091_11,17281.0,0.0
WT_0_216,WT,216.0,WT_0,22_19_29,118518.0,0.0
WT_1_216,WT,216.0,WT_1,51_267_17,35651.0,0.0
WT_2_216,WT,216.0,WT_2,85_257_15,27930.0,0.0
WT_3_216,WT,216.0,WT_3,170_688_13,21487.0,0.0
WT_4_216,WT,216.0,WT_4,181_593_16,27804.0,0.0
WT_5_216,WT,216.0,WT_5,214_199_15,25217.0,0.0
WT_6_216,WT,216.0,WT_6,425_894_15,28112.0,0.0
WT_7_216,WT,216.0,WT_7,523_677_14,18939.0,0.0
WT_8_216,WT,216.0,WT_8,529_746_13,19535.0,0.0
WT_9_216,WT,216.0,WT_9,532_717_13,16920.0,0.0
WT_10_216,WT,216.0,WT_10,552_899_14,25761.0,0.0
WT_11_216,WT,216.0,WT_11,570_1002_16,34202.0,140.0
WT_12_216,WT,216.0,WT_12,570_1056_14,23652.0,0.0
WT_13_216,WT,216.0,WT_13,605_1059_12,17110.0,0.0
WT_14_216,WT,216.0,WT_14,618_726_24,62090.0,0.0
WT_15_216,WT,216.0,WT_15,617_823_20,46228.0,0.0
WT_16_216,WT,216.0,WT_16,622_888_14,20893.0,0.0
WT_17_216,WT,216.0,WT_17,628_1092_18,28468.0,0.0
WT_18_216,WT,216.0,WT_18,662_904_11,15897.0,0.0
WT_19_216,WT,216.0,WT_19,672_783_11,16028.0,0.0
WT_20_216,WT,216.0,WT_20,692_931_13,20434.0,0.0
WT_21_216,WT,216.0,WT_21,694_958_11,18618.0,0.0
WT_22_216,WT,216.0,WT_22,716_1036_16,29350.0,0.0
WT_23_216,WT,216.0,WT_23,765_1032_9,11048.0,81.0
WT_24_216,WT,216.0,WT_24,778_1049_11,16267.0,0.0
WT_25_216,WT,216.0,WT_25,840_822_14,27076.0,0.0
WT_26_216,WT,216.0,WT_26,843_785_13,20289.0,0.0
WT_27_216,WT,216.0,WT_27,857_651_14,25090.0,0.0
WT_28_216,WT,216.0,WT_28,881_574_14,25067.0,0.0
WT_29_216,WT,216.0,WT_29,902_885_23,54754.0,0.0
WT_30_216,WT,216.0,WT_30,942_172_16,30903.0,0.0
WT_31_216,WT,216.0,WT_31,958_421_15,28722.0,0.0
WT_32_216,WT,216.0,WT_32,1008_926_14,23629.0,0.0
WT_33_216,WT,216.0,WT_33,1021_1091_11,18353.0,0.0
WT_0_772,WT,772.0,WT_0,22_19_29,119613.0,0.0
WT_1_772,WT,772.0,WT_1,51_267_17,45500.0,9684.0
WT_2_772,WT,772.0,WT_2,85_257_15,35413.0,7233.0
WT_3_772,WT,772.0,WT_3,170_688_13,27419.0,5826.0
WT_4_772,WT,772.0,WT_4,181_593_16,36575.0,8677.0
WT_5_772,WT,772.0,WT_5,214_199_15,32329.0,6846.0
WT_6_772,WT,772.0,WT_6,425_894_15,35956.0,7806.0
WT_7_772,WT,772.0,WT_7,523_677_14,26135.0,6821.0
WT_8_772,WT,772.0,WT_8,529_746_13,24716.0,4881.0
WT_9_772,WT,772.0,WT_9,532_717_13,23188.0,5883.0
WT_10_772,WT,772.0,WT_10,552_899_14,33316.0,7321.0
WT_11_772,WT,772.0,WT_11,570_1002_16,43404.0,9342.0
WT_12_772,WT,772.0,WT_12,570_1056_14,30764.0,6970.0
WT_13_772,WT,772.0,WT_13,605_1059_12,21529.0,4330.0
WT_14_772,WT,772.0,WT_14,618_726_24,78690.0,16300.0
WT_15_772,WT,772.0,WT_15,617_823_20,56535.0,8821.0
WT_16_772,WT,772.0,WT_16,622_888_14,27492.0,5297.0
WT_17_772,WT,772.0,WT_17,628_1092_18,38140.0,9524.0
WT_18_772,WT,772.0,WT_18,662_904_11,20439.0,3972.0
WT_19_772,WT,772.0,WT_19,672_783_11,19633.0,3383.0
WT_20_772,WT,772.0,WT_20,692_931_13,26380.0,5799.0
WT_21_772,WT,772.0,WT_21,694_958_11,23431.0,4803.0
WT_22_772,WT,772.0,WT_22,716_1036_16,37893.0,8540.0
WT_23_772,WT,772.0,WT_23,765_1032_9,14244.0,3277.0
WT_24_772,WT,772.0,WT_24,778_1049_11,20567.0,4244.0
WT_25_772,WT,772.0,WT_25,840_822_14,35148.0,7640.0
WT_26_772,WT,772.0,WT_26,843_785_13,26776.0,6213.0
WT_27_772,WT,772.0,WT_27,857_651_14,32794.0,7442.0
WT_28_772,WT,772.0,WT_28,881_574_14,32308.0,6973.0
WT_29_772,WT,772.0,WT_29,902_885_23,68032.0,12730.0
WT_30_772,WT,772.0,WT_30,942_172_16,40566.0,9162.0
WT_31_772,WT,772.0,WT_31,958_421_15,37686.0,8586.0
WT_32_772,WT,772.0,WT_32,1008_926_14,32033.0,8100.0
WT_33_772,WT,772.0,WT_33,1021_1091_11,18837.0,471.0
WT_0_1389,WT,1389.0,WT_0,22_19_29,116432.0,0.0
WT_1_1389,WT,1389.0,WT_1,51_267_17,53391.0,17575.0
WT_2_1389,WT,1389.0,WT_2,85_257_15,42100.0,13920.0
WT_3_1389,WT,1389.0,WT_3,170_688_13,32640.0,11047.0
WT_4_1389,WT,1389.0,WT_4,181_593_16,42878.0,14980.0
WT_5_1389,WT,1389.0,WT_5,214_199_15,37990.0,12507.0
WT_6_1389,WT,1389.0,WT_6,425_894_15,42571.0,14421.0
WT_7_1389,WT,1389.0,WT_7,523_677_14,28916.0,9602.0
WT_8_1389,WT,1389.0,WT_8,529_746_13,30623.0,10788.0
WT_9_1389,WT,1389.0,WT_9,532_717_13,26351.0,9046.0
WT_10_1389,WT,1389.0,WT_10,552_899_14,39078.0,13083.0
WT_11_1389,WT,1389.0,WT_11,570_1002_16,47892.0,13830.0
WT_12_1389,WT,1389.0,WT_12,570_1056_14,35227.0,11433.0
WT_13_1389,WT,1389.0,WT_13,605_1059_12,25272.0,8073.0
WT_14_1389,WT,1389.0,WT_14,618_726_24,91793.0,29403.0
WT_15_1389,WT,1389.0,WT_15,617_823_20,66616.0,18902.0
WT_16_1389,WT,1389.0,WT_16,622_888_14,32361.0,10166.0
WT_17_1389,WT,1389.0,WT_17,628_1092_18,38912.0,10296.0
WT_18_1389,WT,1389.0,WT_18,662_904_11,24067.0,7600.0
WT_19_1389,WT,1389.0,WT_19,672_783_11,24046.0,7796.0
WT_20_1389,WT,1389.0,WT_20,692_931_13,28069.0,7488.0
WT_21_1389,WT,1389.0,WT_21,694_958_11,26430.0,7802.0
WT_22_1389,WT,1389.0,WT_22,716_1036_16,43400.0,14047.0
WT_23_1389,WT,1389.0,WT_23,765_1032_9,15405.0,4438.0
WT_24_1389,WT,1389.0,WT_24,778_1049_11,24584.0,8261.0
WT_25_1389,WT,1389.0,WT_25,840_822_14,41368.0,13860.0
WT_26_1389,WT,1389.0,WT_26,843_785_13,30994.0,10431.0
WT_27_1389,WT,1389.0,WT_27,857_651_14,38177.0,12825.0
WT_28_1389,WT,1389.0,WT_28,881_574_14,38989.0,13654.0
WT_29_1389,WT,1389.0,WT_29,902_885_23,78199.0,22897.0
WT_30_1389,WT,1389.0,WT_30,942_172_16,48443.0,17039.0
WT_31_1389,WT,1389.0,WT_31,958_421_15,43812.0,14712.0
WT_32_1389,WT,1389.0,WT_32,1008_926_14,36954.0,13021.0
WT_33_1389,WT,1389.0,WT_33,1021_1091_11,17826.0,0.0
WT_0_1606,WT,1606.0,WT_0,22_19_29,116752.0,0.0
WT_1_1606,WT,1606.0,WT_1,51_267_17,53111.0,17295.0
WT_2_1606,WT,1606.0,WT_2,85_257_15,41268.0,13088.0
WT_3_1606,WT,1606.0,WT_3,170_688_13,31665.0,10072.0
WT_4_1606,WT,1606.0,WT_4,181_593_16,42254.0,14356.0
WT_5_1606,WT,1606.0,WT_5,214_199_15,37008.0,11525.0
WT_6_1606,WT,1606.0,WT_6,425_894_15,42405.0,14255.0
WT_7_1606,WT,1606.0,WT_7,523_677_14,28671.0,9357.0
WT_8_1606,WT,1606.0,WT_8,529_746_13,30637.0,10802.0
WT_9_1606,WT,1606.0,WT_9,532_717_13,26008.0,8703.0
WT_10_1606,WT,1606.0,WT_10,552_899_14,40164.0,14169.0
WT_11_1606,WT,1606.0,WT_11,570_1002_16,47863.0,13801.0
WT_12_1606,WT,1606.0,WT_12,570_1056_14,35543.0,11749.0
WT_13_1606,WT,1606.0,WT_13,605_1059_12,25501.0,8302.0
WT_14_1606,WT,1606.0,WT_14,618_726_24,93813.0,31423.0
WT_15_1606,WT,1606.0,WT_15,617_823_20,67705.0,19991.0
WT_16_1606,WT,1606.0,WT_16,622_888_14,32386.0,10191.0
WT_17_1606,WT,1606.0,WT_17,628_1092_18,38506.0,9890.0
WT_18_1606,WT,1606.0,WT_18,662_904_11,24214.0,7747.0
WT_19_1606,WT,1606.0,WT_19,672_783_11,24624.0,8374.0
WT_20_1606,WT,1606.0,WT_20,692_931_13,27733.0,7152.0
WT_21_1606,WT,1606.0,WT_21,694_958_11,26505.0,7877.0
WT_22_1606,WT,1606.0,WT_22,716_1036_16,44090.0,14737.0
WT_23_1606,WT,1606.0,WT_23,765_1032_9,15190.0,4223.0
WT_24_1606,WT,1606.0,WT_24,778_1049_11,24729.0,8406.0
WT_25_1606,WT,1606.0,WT_25,840_822_14,42227.0,14719.0
WT_26_1606,WT,1606.0,WT_26,843_785_13,30854.0,10291.0
WT_27_1606,WT,1606.0,WT_27,857_651_14,39176.0,13824.0
WT_28_1606,WT,1606.0,WT_28,881_574_14,40052.0,14717.0
WT_29_1606,WT,1606.0,WT_29,902_885_23,81752.0,26450.0
WT_30_1606,WT,1606.0,WT_30,942_172_16,47738.0,16334.0
WT_31_1606,WT,1606.0,WT_31,958_421_15,43865.0,14765.0
WT_32_1606,WT,1606.0,WT_32,1008_926_14,37680.0,13747.0
WT_33_1606,WT,1606.0,WT_33,1021_1091_11,17435.0,0.0
WT_0_2655,WT,2655.0,WT_0,22_19_29,121049.0,324.0
WT_1_2655,WT,2655.0,WT_1,51_267_17,53168.0,17352.0
WT_2_2655,WT,2655.0,WT_2,85_257_15,41685.0,13505.0
WT_3_2655,WT,2655.0,WT_3,170_688_13,32854.0,11261.0
WT_4_2655,WT,2655.0,WT_4,181_593_16,43071.0,15173.0
WT_5_2655,WT,2655.0,WT_5,214_199_15,38511.0,13028.0
WT_6_2655,WT,2655.0,WT_6,425_894_15,43059.0,14909.0
WT_7_2655,WT,2655.0,WT_7,523_677_14,29304.0,9990.0
WT_8_2655,WT,2655.0,WT_8,529_746_13,29878.0,10043.0
WT_9_2655,WT,2655.0,WT_9,532_717_13,26474.0,9169.0
WT_10_2655,WT,2655.0,WT_10,552_899_14,39371.0,13376.0
WT_11_2655,WT,2655.0,WT_11,570_1002_16,48088.0,14026.0
WT_12_2655,WT,2655.0,WT_12,570_1056_14,34290.0,10496.0
WT_13_2655,WT,2655.0,WT_13,605_1059_12,24968.0,7769.0
WT_14_2655,WT,2655.0,WT_14,618_726_24,94833.0,32443.0
WT_15_2655,WT,2655.0,WT_15,617_823_20,66977.0,19263.0
WT_16_2655,WT,2655.0,WT_16,622_888_14,31448.0,9253.0
WT_17_2655,WT,2655.0,WT_17,628_1092_18,40275.0,11659.0
WT_18_2655,WT,2655.0,WT_18,662_904_11,23540.0,7073.0
WT_19_2655,WT,2655.0,WT_19,672_783_11,24332.0,8082.0
WT_20_2655,WT,2655.0,WT_20,692_931_13,28323.0,7742.0
WT_21_2655,WT,2655.0,WT_21,694_958_11,26597.0,7969.0
WT_22_2655,WT,2655.0,WT_22,716_1036_16,42603.0,13250.0
WT_23_2655,WT,2655.0,WT_23,765_1032_9,15457.0,4490.0
WT_24_2655,WT,2655.0,WT_24,778_1049_11,24349.0,8026.0
WT_25_2655,WT,2655.0,WT_25,840_822_14,41925.0,14417.0
WT_26_2655,WT,2655.0,WT_26,843_785_13,30408.0,9845.0
WT_27_2655,WT,2655.0,WT_27,857_651_14,38947.0,13595.0
WT_28_2655,WT,2655.0,WT_28,881_574_14,39780.0,14445.0
WT_29_2655,WT,2655.0,WT_29,902_885_23,83039.0,27737.0
WT_30_2655,WT,2655.0,WT_30,942_172_16,47682.0,16278.0
WT_31_2655,WT,2655.0,WT_31,958_421_15,44549.0,15449.0
WT_32_2655,WT,2655.0,WT_32,1008_926_14,37364.0,13431.0
WT_33_2655,WT,2655.0,WT_33,1021_1091_11,17125.0,0.0
WT_0_957,WT,957.0,WT_0,22_19_29,117397.0,0.0
WT_1_957,WT,957.0,WT_1,51_267_17,50797.0,14981.0
WT_2_957,WT,957.0,WT_2,85_257_15,39947.0,11767.0
WT_3_957,WT,957.0,WT_3,170_688_13,32323.0,10730.0
WT_4_957,WT,957.0,WT_4,181_593_16,41827.0,13929.0
WT_5_957,WT,957.0,WT_5,214_199_15,37328.0,11845.0
WT_6_957,WT,957.0,WT_6,425_894_15,41244.0,13094.0
WT_7_957,WT,957.0,WT_7,523_677_14,28538.0,9224.0
WT_8_957,WT,957.0,WT_8,529_746_13,28974.0,9139.0
WT_9_957,WT,957.0,WT_9,532_717_13,26182.0,8877.0
WT_10_957,WT,957.0,WT_10,552_899_14,36499.0,10504.0
WT_11_957,WT,957.0,WT_11,570_1002_16,45062.0,11000.0
WT_12_957,WT,957.0,WT_12,570_1056_14,33254.0,9460.0
WT_13_957,WT,957.0,WT_13,605_1059_12,23680.0,6481.0
WT_14_957,WT,957.0,WT_14,618_726_24,84010.0,21620.0
WT_15_957,WT,957.0,WT_15,617_823_20,61220.0,13506.0
WT_16_957,WT,957.0,WT_16,622_888_14,29886.0,7691.0
WT_17_957,WT,957.0,WT_17,628_1092_18,39209.0,10593.0
WT_18_957,WT,957.0,WT_18,662_904_11,22551.0,6084.0
WT_19_957,WT,957.0,WT_19,672_783_11,22358.0,6108.0
WT_20_957,WT,957.0,WT_20,692_931_13,28181.0,7600.0
WT_21_957,WT,957.0,WT_21,694_958_11,25488.0,6860.0
WT_22_957,WT,957.0,WT_22,716_1036_16,41219.0,11866.0
WT_23_957,WT,957.0,WT_23,765_1032_9,15308.0,4341.0
WT_24_957,WT,957.0,WT_24,778_1049_11,23257.0,6934.0
WT_25_957,WT,957.0,WT_25,840_822_14,38966.0,11458.0
WT_26_957,WT,957.0,WT_26,843_785_13,28781.0,8218.0
WT_27_957,WT,957.0,WT_27,857_651_14,36445.0,11093.0
WT_28_957,WT,957.0,WT_28,881_574_14,36619.0,11284.0
WT_29_957,WT,957.0,WT_29,902_885_23,73723.0,18421.0
WT_30_957,WT,957.0,WT_30,942_172_16,45870.0,14466.0
WT_31_957,WT,957.0,WT_31,958_421_15,42841.0,13741.0
WT_32_957,WT,957.0,WT_32,1008_926_14,34953.0,11020.0
WT_33_957,WT,957.0,WT_33,1021_1091_11,18557.0,191.0
WT_0_1822,WT,1822.0,WT_0,22_19_29,117803.0,0.0
WT_1_1822,WT,1822.0,WT_1,51_267_17,53022.0,17206.0
WT_2_1822,WT,1822.0,WT_2,85_257_15,41063.0,12883.0
WT_3_1822,WT,1822.0,WT_3,170_688_13,31499.0,9906.0
WT_4_1822,WT,1822.0,WT_4,181_593_16,42308.0,14410.0
WT_5_1822,WT,1822.0,WT_5,214_199_15,37114.0,11631.0
WT_6_1822,WT,1822.0,WT_6,425_894_15,42927.0,14777.0
WT_7_1822,WT,1822.0,WT_7,523_677_14,28722.0,9408.0
WT_8_1822,WT,1822.0,WT_8,529_746_13,30632.0,10797.0
WT_9_1822,WT,1822.0,WT_9,532_717_13,25973.0,8668.0
WT_10_1822,WT,1822.0,WT_10,552_899_14,40366.0,14371.0
WT_11_1822,WT,1822.0,WT_11,570_1002_16,48021.0,13959.0
WT_12_1822,WT,1822.0,WT_12,570_1056_14,35362.0,11568.0
WT_13_1822,WT,1822.0,WT_13,605_1059_12,25609.0,8410.0
WT_14_1822,WT,1822.0,WT_14,618_726_24,95004.0,32614.0
WT_15_1822,WT,1822.0,WT_15,617_823_20,68110.0,20396.0
WT_16_1822,WT,1822.0,WT_16,622_888_14,32228.0,10033.0
WT_17_1822,WT,1822.0,WT_17,628_1092_18,38862.0,10246.0
WT_18_1822,WT,1822.0,WT_18,662_904_11,24110.0,7643.0
WT_19_1822,WT,1822.0,WT_19,672_783_11,24763.0,8513.0
WT_20_1822,WT,1822.0,WT_20,692_931_13,27820.0,7239.0
WT_21_1822,WT,1822.0,WT_21,694_958_11,26570.0,7942.0
WT_22_1822,WT,1822.0,WT_22,716_1036_16,43729.0,14376.0
WT_23_1822,WT,1822.0,WT_23,765_1032_9,15196.0,4229.0
WT_24_1822,WT,1822.0,WT_24,778_1049_11,24710.0,8387.0
WT_25_1822,WT,1822.0,WT_25,840_822_14,42600.0,15092.0
WT_26_1822,WT,1822.0,WT_26,843_785_13,30560.0,9997.0
WT_27_1822,WT,1822.0,WT_27,857_651_14,39540.0,14188.0
WT_28_1822,WT,1822.0,WT_28,881_574_14,40374.0,15039.0
WT_29_1822,WT,1822.0,WT_29,902_885_23,83453.0,28151.0
WT_30_1822,WT,1822.0,WT_30,942_172_16,47610.0,16206.0
WT_31_1822,WT,1822.0,WT_31,958_421_15,43959.0,14859.0
WT_32_1822,WT,1822.0,WT_32,1008_926_14,37892.0,13959.0
WT_33_1822,WT,1822.0,WT_33,1021_1091_11,17350.0,0.0
WT_0_1173,WT,1173.0,WT_0,22_19_29,117148.0,0.0
WT_1_1173,WT,1173.0,WT_1,51_267_17,52818.0,17002.0
WT_2_1173,WT,1173.0,WT_2,85_257_15,41840.0,13660.0
WT_3_1173,WT,1173.0,WT_3,170_688_13,32804.0,11211.0
WT_4_1173,WT,1173.0,WT_4,181_593_16,42810.0,14912.0
WT_5_1173,WT,1173.0,WT_5,214_199_15,38278.0,12795.0
WT_6_1173,WT,1173.0,WT_6,425_894_15,42192.0,14042.0
WT_7_1173,WT,1173.0,WT_7,523_677_14,29063.0,9749.0
WT_8_1173,WT,1173.0,WT_8,529_746_13,30139.0,10304.0
