Spot,Time,Growth,Growth_normalized
TetR_10,92,286613,0
TetR_10,123,286907,0
TetR_10,154,286186,0
TetR_10,185,286329,0
TetR_10,216,286308,0
TetR_10,247,286338,0
TetR_10,278,286548,0
TetR_10,309,286669,0
TetR_10,340,286785,0
TetR_10,371,286814,0
TetR_10,402,286922,0
TetR_10,432,286848,0
TetR_10,463,287130,0
TetR_10,494,287138,0
TetR_10,525,287440,0
TetR_10,556,288629,0
TetR_10,587,290229,0
TetR_10,618,291767,0
TetR_10,649,293787,1967
TetR_10,679,295938,4118
TetR_10,710,297374,5554
TetR_10,741,299457,7637
TetR_10,772,300807,8987
TetR_10,803,303347,11527
TetR_10,834,305228,13408
TetR_10,865,306941,15121
TetR_10,896,307128,15308
TetR_10,926,308132,16312
TetR_10,957,310101,18281
TetR_10,988,312294,20474
TetR_10,1019,312696,20876
TetR_10,1050,314788,22968
TetR_10,1081,316124,24304
TetR_10,1112,317241,25421
TetR_10,1142,319260,27440
TetR_10,1173,320956,29136
TetR_10,1204,323077,31257
TetR_10,1235,323732,31912
TetR_10,1266,325689,33869
TetR_10,1297,327765,35945
TetR_10,1328,328900,37080
TetR_10,1359,330963,39143
TetR_10,1389,331258,39438
TetR_10,1420,332276,40456
TetR_10,1451,333501,41681
TetR_10,1482,334529,42709
TetR_10,1513,335188,43368
TetR_10,1544,335509,43689
TetR_10,1575,336086,44266
TetR_10,1606,336931,45111
TetR_10,1636,337551,45731
TetR_10,1667,338247,46427
TetR_10,1698,338835,47015
TetR_10,1729,339380,47560
TetR_10,1760,339713,47893
TetR_10,1791,340489,48669
TetR_10,1822,340950,49130
TetR_10,1852,341516,49696
TetR_10,1883,341976,50156
TetR_10,1914,342988,51168
TetR_10,1945,343389,51569
TetR_10,1976,343832,52012
TetR_10,2007,344361,52541
TetR_10,2038,344775,52955
TetR_10,2069,344730,52910
TetR_10,2099,345452,53632
TetR_10,2130,345795,53975
TetR_10,2161,346130,54310
TetR_10,2192,345981,54161
TetR_10,2223,346141,54321
TetR_10,2254,346159,54339
TetR_10,2285,346466,54646
TetR_10,2316,346099,54279
TetR_10,2346,346021,54201
TetR_10,2377,345776,53956
TetR_10,2408,345526,53706
TetR_10,2439,345254,53434
TetR_10,2470,345222,53402
TetR_10,2501,344677,52857
TetR_10,2532,344435,52615
TetR_10,2562,344053,52233
TetR_10,2593,343609,51789
TetR_10,2624,343871,52051
TetR_10,2655,343926,52106
TetR_10,2686,343422,51602
TetR_10,2717,343706,51886
TetR_10,2748,343515,51695
TetR_10,2779,343372,51552
TetR_10,2809,343567,51747
TetR_10,2840,343401,51581
TetR_10,2871,343468,51648
TetR_10,2902,343403,51583
TetR_11,0,91632,0
TetR_11,30,90543,0
TetR_11,61,90003,0
TetR_11,92,89868,0
TetR_11,123,89986,0
TetR_11,154,89741,0
TetR_11,185,89653,0
TetR_11,216,89602,0
TetR_11,247,89585,0
TetR_11,278,89573,0
TetR_11,309,89745,0
TetR_11,340,89733,0
TetR_11,371,89789,0
TetR_11,402,89711,0
TetR_11,432,89767,0
TetR_11,463,89767,0
TetR_11,494,89798,0
TetR_11,525,89865,0
TetR_11,556,90106,0
TetR_11,587,90289,0
TetR_11,618,90941,0
TetR_11,649,91624,0
TetR_11,679,92817,1185
TetR_11,710,93726,2094
TetR_11,741,94449,2817
TetR_11,772,94498,2866
TetR_11,803,94933,3301
TetR_11,834,95233,3601
TetR_11,865,95488,3856
TetR_11,896,95758,4126
TetR_11,926,96156,4524
TetR_11,957,96608,4976
TetR_11,988,97205,5573
TetR_11,1019,97363,5731
TetR_11,1050,97910,6278
TetR_11,1081,98434,6802
TetR_11,1112,98893,7261
TetR_11,1142,99499,7867
TetR_11,1173,100023,8391
TetR_11,1204,100601,8969
TetR_11,1235,100912,9280
TetR_11,1266,101592,9960
TetR_11,1297,102364,10732
TetR_11,1328,102806,11174
TetR_11,1359,103666,12034
TetR_11,1389,104114,12482
TetR_11,1420,104767,13135
TetR_11,1451,105292,13660
TetR_11,1482,105845,14213
TetR_11,1513,106191,14559
TetR_11,1544,106248,14616
TetR_11,1575,106518,14886
TetR_11,1606,106560,14928
TetR_11,1636,106757,15125
TetR_11,1667,106823,15191
TetR_11,1698,106850,15218
TetR_11,1729,106923,15291
TetR_11,1760,107072,15440
TetR_11,1791,107086,15454
TetR_11,1822,107120,15488
TetR_11,1852,107186,15554
TetR_11,1883,107237,15605
TetR_11,1914,107370,15738
TetR_11,1945,107309,15677
TetR_11,1976,107398,15766
TetR_11,2007,107485,15853
TetR_11,2038,107564,15932
TetR_11,2069,107350,15718
TetR_11,2099,107451,15819
TetR_11,2130,107566,15934
TetR_11,2161,107502,15870
TetR_11,2192,107455,15823
TetR_11,2223,107473,15841
TetR_11,2254,107446,15814
TetR_11,2285,107399,15767
TetR_11,2316,107353,15721
TetR_11,2346,107281,15649
TetR_11,2377,107319,15687
TetR_11,2408,107094,15462
TetR_11,2439,107160,15528
TetR_11,2470,107072,15440
TetR_11,2501,106941,15309
TetR_11,2532,106858,15226
TetR_11,2562,106769,15137
TetR_11,2593,106680,15048
TetR_11,2624,106767,15135
TetR_11,2655,106659,15027
TetR_11,2686,106634,15002
TetR_11,2717,106610,14978
TetR_11,2748,106689,15057
TetR_11,2779,106615,14983
TetR_11,2809,106662,15030
TetR_11,2840,106638,15006
TetR_11,2871,106756,15124
TetR_11,2902,106681,15049
TetR_12,0,246372,0
TetR_12,30,243250,0
TetR_12,61,242190,0
TetR_12,92,242063,0
TetR_12,123,242203,0
TetR_12,154,241475,0
TetR_12,185,241617,0
TetR_12,216,241551,0
TetR_12,247,241383,0
TetR_12,278,241525,0
TetR_12,309,241691,0
TetR_12,340,242044,0
TetR_12,371,242036,0
TetR_12,402,241818,0
TetR_12,432,241673,0
TetR_12,463,241976,0
TetR_12,494,242280,0
TetR_12,525,242532,0
TetR_12,556,242969,0
TetR_12,587,243827,0
TetR_12,618,245273,0
TetR_12,649,246945,573
TetR_12,679,248631,2259
TetR_12,710,250387,4015
TetR_12,741,252696,6324
TetR_12,772,253827,7455
TetR_12,803,255522,9150
TetR_12,834,256776,10404
TetR_12,865,257771,11399
TetR_12,896,258087,11715
TetR_12,926,259211,12839
TetR_12,957,260908,14536
TetR_12,988,262636,16264
TetR_12,1019,262639,16267
TetR_12,1050,264273,17901
TetR_12,1081,265539,19167
TetR_12,1112,266657,20285
TetR_12,1142,268890,22518
TetR_12,1173,270484,24112
TetR_12,1204,272581,26209
TetR_12,1235,273587,27215
TetR_12,1266,275479,29107
TetR_12,1297,277316,30944
TetR_12,1328,278113,31741
TetR_12,1359,279484,33112
TetR_12,1389,279677,33305
TetR_12,1420,280823,34451
TetR_12,1451,282203,35831
TetR_12,1482,283123,36751
TetR_12,1513,283983,37611
TetR_12,1544,284325,37953
TetR_12,1575,285055,38683
TetR_12,1606,285417,39045
TetR_12,1636,286005,39633
TetR_12,1667,286309,39937
TetR_12,1698,286635,40263
TetR_12,1729,287074,40702
TetR_12,1760,287415,41043
TetR_12,1791,287825,41453
TetR_12,1822,287972,41600
TetR_12,1852,288228,41856
TetR_12,1883,288378,42006
TetR_12,1914,288807,42435
TetR_12,1945,288819,42447
TetR_12,1976,288940,42568
TetR_12,2007,289182,42810
TetR_12,2038,289235,42863
TetR_12,2069,288972,42600
TetR_12,2099,289296,42924
TetR_12,2130,289289,42917
TetR_12,2161,289181,42809
TetR_12,2192,288810,42438
TetR_12,2223,289100,42728
TetR_12,2254,289014,42642
TetR_12,2285,289041,42669
TetR_12,2316,288989,42617
TetR_12,2346,288871,42499
TetR_12,2377,288623,42251
TetR_12,2408,288180,41808
TetR_12,2439,288013,41641
TetR_12,2470,287932,41560
TetR_12,2501,287518,41146
TetR_12,2532,287525,41153
TetR_12,2562,286877,40505
TetR_12,2593,286482,40110
TetR_12,2624,286709,40337
TetR_12,2655,286625,40253
TetR_12,2686,286397,40025
TetR_12,2717,286744,40372
TetR_12,2748,286693,40321
TetR_12,2779,286056,39684
TetR_12,2809,286365,39993
TetR_12,2840,286410,40038
TetR_12,2871,286657,40285
TetR_12,2902,286467,40095
TetR_13,0,86962,0
TetR_13,30,85891,0
TetR_13,61,85500,0
TetR_13,92,85435,0
TetR_13,123,85510,0
TetR_13,154,85280,0
TetR_13,185,85218,0
TetR_13,216,85316,0
TetR_13,247,85127,0
TetR_13,278,85212,0
TetR_13,309,85151,0
TetR_13,340,85272,0
TetR_13,371,85363,0
TetR_13,402,85266,0
TetR_13,432,85531,0
TetR_13,463,85648,0
TetR_13,494,85926,0
TetR_13,525,86468,0
TetR_13,556,87155,193
TetR_13,587,87884,922
TetR_13,618,88783,1821
TetR_13,649,89563,2601
TetR_13,679,89795,2833
TetR_13,710,89891,2929
TetR_13,741,90252,3290
TetR_13,772,90516,3554
TetR_13,803,91166,4204
TetR_13,834,91659,4697
TetR_13,865,91916,4954
TetR_13,896,91821,4859
TetR_13,926,92038,5076
TetR_13,957,92474,5512
TetR_13,988,92853,5891
TetR_13,1019,92863,5901
TetR_13,1050,93301,6339
TetR_13,1081,93469,6507
TetR_13,1112,93742,6780
TetR_13,1142,94377,7415
TetR_13,1173,94909,7947
TetR_13,1204,95754,8792
TetR_13,1235,96090,9128
TetR_13,1266,96671,9709
TetR_13,1297,97319,10357
TetR_13,1328,97542,10580
TetR_13,1359,98039,11077
TetR_13,1389,97775,10813
TetR_13,1420,98013,11051
TetR_13,1451,98310,11348
TetR_13,1482,98517,11555
TetR_13,1513,98500,11538
TetR_13,1544,98470,11508
TetR_13,1575,98636,11674
TetR_13,1606,98717,11755
TetR_13,1636,98852,11890
TetR_13,1667,98820,11858
TetR_13,1698,98829,11867
TetR_13,1729,99038,12076
TetR_13,1760,99098,12136
TetR_13,1791,99188,12226
TetR_13,1822,99294,12332
TetR_13,1852,99427,12465
TetR_13,1883,99426,12464
TetR_13,1914,99531,12569
TetR_13,1945,99565,12603
TetR_13,1976,99465,12503
TetR_13,2007,99520,12558
TetR_13,2038,99504,12542
TetR_13,2069,99495,12533
TetR_13,2099,99439,12477
TetR_13,2130,99539,12577
TetR_13,2161,99430,12468
TetR_13,2192,99407,12445
TetR_13,2223,99469,12507
TetR_13,2254,99544,12582
TetR_13,2285,99463,12501
TetR_13,2316,99414,12452
TetR_13,2346,99369,12407
TetR_13,2377,99330,12368
TetR_13,2408,99217,12255
TetR_13,2439,99247,12285
TetR_13,2470,99167,12205
TetR_13,2501,99061,12099
TetR_13,2532,99007,12045
TetR_13,2562,98854,11892
TetR_13,2593,98665,11703
TetR_13,2624,98691,11729
TetR_13,2655,98806,11844
TetR_13,2686,98725,11763
TetR_13,2717,98801,11839
TetR_13,2748,98734,11772
TetR_13,2779,98648,11686
TetR_13,2809,98710,11748
TetR_13,2840,98856,11894
TetR_13,2871,98989,12027
TetR_13,2902,98879,11917
TetR_14,0,273539,0
TetR_14,30,270016,0
TetR_14,61,268680,0
TetR_14,92,268324,0
TetR_14,123,268589,0
TetR_14,154,267923,0
TetR_14,185,267996,0
TetR_14,216,268088,0
TetR_14,247,267911,0
TetR_14,278,268219,0
TetR_14,309,268197,0
TetR_14,340,268402,0
TetR_14,371,268462,0
TetR_14,402,268432,0
TetR_14,432,268331,0
